CD_CLIENTE,telemetria_moduloid_moda,telemetria_productlineid_moda,telemetria_slotid_moda,telemetria_statuslicenca_moda,telemetria_contagem
T19328,520,3,0,Desconectado,9297
T19433,533,3,4001,Desconectado,1168
T19463,516,3,0,Desconectado,34
T19482,520,3,0,Desconectado,3026
T19654,533,3,4001,Desconectado,4215
T19751,6,2,4022,Desconectado,3007
T19828,520,3,0,Desconectado,18960
T20139,516,3,0,Desconectado,245
T20214,5,2,0,Desconectado,60
T20326,516,3,0,Desconectado,665
T20520,506,3,0,Desconectado,619
T20563,5625,6,4000,Desconectado,2721
T20697,516,3,0,Desconectado,433
T20957,534,3,4001,Desconectado,11165
T20966,516,3,0,Desconectado,186
T20994,520,3,0,Desconectado,5359
T21048,516,3,0,Desconectado,900
T21130,516,3,0,Desconectado,48
T21296,602,11,602,Conectado,559
T21308,4093,2,0,Desconectado,125
T21326,533,3,533,Desconectado,712
T21416,501,3,0,Desconectado,362
T21424,5,2,4000,Desconectado,1407
T21528,527,3,527,Desconectado,451
T21576,77,2,4000,Desconectado,3466
T21777,2,2,4016,Desconectado,1765
T21849,533,3,4001,Desconectado,5027
T21883,516,3,0,Desconectado,890
T21961,520,3,0,Desconectado,1178
T22081,516,3,0,Desconectado,420
T22175,533,3,4000,Desconectado,8302
T22211,5631,6,4000,Desconectado,5820
T22247,520,3,0,Desconectado,1160
T22345,520,3,0,Desconectado,1217
T22396,516,3,0,Desconectado,916
T22520,513,3,0,Desconectado,9252
T22532,522,3,0,Desconectado,835
T22629,534,3,0,Desconectado,2377
T22643,533,3,4001,Desconectado,35809
T22665,520,3,0,Desconectado,3590
T22754,516,3,0,Desconectado,28
T22782,520,3,0,Desconectado,5289
T22870,533,3,533,Desconectado,4190
T22884,516,3,0,Desconectado,1326
T22893,506,3,0,Desconectado,387
T23009,533,3,4001,Desconectado,6669
T23228,5629,6,4000,Desconectado,1416
T23248,501,3,0,Desconectado,344
T23280,4093,2,4173,Desconectado,18089
T23296,516,3,0,Desconectado,2332
T23398,805,13,805,Conectado,22931
T23438,533,3,533,Desconectado,3771
T23569,516,3,0,Desconectado,3270
T23615,501,3,0,Desconectado,1026
T23632,533,3,4001,Desconectado,4279
T23659,516,3,0,Desconectado,319
T23824,533,3,4001,Desconectado,7894
T24024,533,3,533,Desconectado,45518
T24234,503,3,0,Desconectado,92
T24293,5582,6,4145,Desconectado,1682
T24389,523,3,0,Desconectado,3720
T24393,516,3,0,Desconectado,554
T24410,516,3,0,Desconectado,1925
T24526,523,3,0,Desconectado,56733
T24551,519,3,4000,Desconectado,89
T24598,507,3,0,Desconectado,2
T24711,2,2,0,Desconectado,3472
T24898,516,3,0,Desconectado,307
T25006,516,3,0,Desconectado,65
T25029,516,3,0,Desconectado,263
T25084,9,2,4134,,4
T25103,516,3,0,Desconectado,417
T25106,533,3,4177,Desconectado,1330
T25254,2,2,0,Desconectado,8181
T25256,513,3,0,Desconectado,5539
T25303,503,3,0,Desconectado,1234
T25567,520,3,0,Desconectado,2170
T25606,516,3,0,Desconectado,1567
T25719,506,3,0,Desconectado,882
T25951,516,3,0,Desconectado,1892
T25978,533,3,533,Desconectado,9206
T26027,516,3,0,Desconectado,208
T26177,516,3,0,Desconectado,95
T26188,503,3,0,Desconectado,32
T26230,516,3,0,Desconectado,1144
T26249,516,3,0,Desconectado,123
T26272,200,2,4000,Desconectado,2911
T26313,506,3,4000,Desconectado,475
T26323,5,2,4000,Desconectado,12368
T26584,5511,6,4173,Desconectado,2083
T26845,520,3,0,Desconectado,1529
T26902,533,3,0,Desconectado,2439
T26955,503,3,0,Desconectado,664
T27008,534,3,534,Desconectado,269470
T27027,520,3,0,Desconectado,1631
T27030,520,3,0,Desconectado,1892
T27050,520,3,0,Desconectado,453
T27051,520,3,0,Desconectado,537
T27075,43,2,4171,Desconectado,2813
T27168,506,3,0,Desconectado,418
T27211,533,3,4001,Desconectado,2184
T27563,516,3,0,Desconectado,403
T27656,520,3,0,Desconectado,1155
T27699,516,3,0,Desconectado,820
T27744,533,3,0,Desconectado,2180
T27782,519,3,4029,Desconectado,633
T27866,503,3,4122,Desconectado,63
T27897,516,3,4000,Desconectado,11
T28098,516,3,0,Desconectado,40
T28250,516,3,0,Desconectado,961
T28442,506,3,0,Desconectado,1194
T28475,509,3,4000,Desconectado,40
T28477,522,3,0,Desconectado,10332
T28938,516,3,4004,Desconectado,1950
T29119,533,3,533,Desconectado,26840
T29133,516,3,0,Desconectado,1310
T29192,520,3,0,Desconectado,1737
T29465,4,2,4000,Desconectado,4480
T29501,503,3,4000,Desconectado,29
T29632,531,3,0,Desconectado,11047
T29710,601,11,0,Conectado,307
T29941,6,2,4024,Desconectado,4118
T29956,516,3,0,Desconectado,913
T30009,516,3,0,Desconectado,2366
T30059,516,3,0,Desconectado,239
T30236,6,2,4000,Desconectado,611
T30299,515,3,0,Desconectado,2654
T30414,533,3,4001,Desconectado,5059
T30420,533,3,533,Desconectado,49719
T30443,635,11,635,Conectado,683
T30580,516,3,0,Desconectado,1020
T30589,523,3,0,Desconectado,950
T30616,506,3,4000,Desconectado,229
T30667,516,3,0,Desconectado,187
T30802,507,3,0,Desconectado,160
T30884,533,3,533,Desconectado,15583
T30925,533,3,533,Desconectado,55291
T31057,513,3,0,Desconectado,5882
T31130,533,3,533,Desconectado,184624
T31146,533,3,533,Desconectado,42802
T31188,520,3,0,Desconectado,11787
T31424,533,3,533,Desconectado,34752
T31440,520,3,0,Desconectado,7274
T31446,5625,6,4000,Desconectado,5295
T31489,520,3,0,Desconectado,640
T31587,516,3,0,Desconectado,377
T31660,2,2,4024,Desconectado,7528
T31748,501,3,0,Desconectado,641
T31787,523,3,0,Desconectado,1990
T31812,520,3,0,Desconectado,5130
T31823,533,3,533,Desconectado,36124
T31846,516,3,0,Desconectado,1221
T31939,516,3,0,Desconectado,257
T32013,533,3,4001,Desconectado,1664
T32065,516,3,0,Desconectado,967
T32108,520,3,0,Desconectado,1193
T32126,519,3,0,Desconectado,6871
T32403,516,3,0,Desconectado,763
T32484,5,2,4000,Desconectado,914
T32634,522,3,4145,Desconectado,59
T32650,520,3,0,Desconectado,384
T32730,520,3,0,Desconectado,2136
T32848,520,3,0,Desconectado,3374
T33051,533,3,533,Desconectado,16094
T33094,516,3,0,Desconectado,534
T33271,520,3,0,Desconectado,4871
T33320,520,3,0,Desconectado,2075
T33327,516,3,0,Desconectado,203
T33358,520,3,0,Desconectado,6388
T33399,516,3,0,Desconectado,115
T33428,1101,3,0,Desconectado,50
T33437,507,3,0,Desconectado,24
T33465,524,3,4148,Desconectado,39
T33882,503,3,0,Desconectado,175
T34101,533,3,4001,Desconectado,17402
T34103,533,3,533,Desconectado,42509
T34111,516,3,0,Desconectado,746
T34142,520,3,0,Desconectado,7901
T34371,533,3,4001,Desconectado,557
T34551,533,3,533,Desconectado,6644
T34593,523,3,0,Desconectado,6969
T34636,516,3,4026,Desconectado,11
T34643,533,3,533,Desconectado,27883
T34693,520,3,4132,Desconectado,7147
T34781,533,3,533,Desconectado,7414
T34846,516,3,0,Desconectado,47
T35033,99,2,0,Desconectado,4
T35043,534,3,534,Desconectado,5416
T35077,523,3,0,Desconectado,2825
T35094,533,3,533,Desconectado,527373
T35116,5629,6,4000,Desconectado,7607
T35130,513,3,513,Negado,62
T35269,533,3,4001,Desconectado,565
T35324,533,3,533,Negado,3916
T35384,533,3,533,Desconectado,6230
T35446,516,3,0,Desconectado,412
T35453,9,2,4134,,4
T35463,533,2,0,Desconectado,5396
T35530,5511,6,4000,Desconectado,3021
T35575,520,3,0,Desconectado,7150
T35673,533,3,533,Desconectado,277893
T35769,520,3,0,Desconectado,1880
T35861,520,3,0,Desconectado,1188
T35866,533,3,533,Desconectado,59999
T36084,2,2,4000,Desconectado,1014
T36222,520,3,0,Desconectado,3623
T36224,533,3,4001,Desconectado,3585
T36279,506,3,0,Desconectado,417
T36286,512,3,0,Desconectado,47
T36316,501,3,0,Desconectado,377
T36359,533,3,4001,Desconectado,1510
T36368,533,3,533,Desconectado,22582
T36438,506,3,0,Desconectado,496
T36635,520,3,0,Desconectado,6131
T36699,516,3,0,Desconectado,13908
T36732,5554,6,4004,Desconectado,28809
T36739,520,3,0,Desconectado,2538
T36761,516,3,0,Desconectado,454
T36812,533,3,533,Desconectado,36988
T36826,519,3,0,Desconectado,6774
T36994,516,3,0,Desconectado,706
T37019,9,2,4134,,10
T37041,533,2,4001,Desconectado,13653
T37047,2,2,4000,Desconectado,3421
T37094,520,3,0,Desconectado,3285
T37238,533,3,533,Desconectado,10843
T37248,534,3,534,Desconectado,30206
T37391,5508,6,4000,Desconectado,1548
T37445,516,3,0,Desconectado,4203
T37473,523,3,0,Desconectado,2190
T37506,516,3,0,Desconectado,145
T37593,506,3,0,Desconectado,1149
T37736,520,3,0,Desconectado,2635
T37830,533,3,533,Desconectado,7382
T37831,516,3,0,Desconectado,445
T37851,2,2,4000,Desconectado,1368
T37932,534,3,534,Desconectado,165930
T37983,506,3,0,Desconectado,145
T38002,519,3,0,Desconectado,1428
T38021,520,3,0,Desconectado,1054
T38088,516,3,0,Desconectado,268
T38204,12,2,4154,Desconectado,1665
T38256,2,2,4000,Desconectado,2185
T38369,516,3,0,Desconectado,1143
T38502,515,3,4000,Desconectado,92053
T38515,520,3,0,Desconectado,1416
T38653,516,3,0,Desconectado,588
T38667,520,3,0,Desconectado,10238
T38839,533,3,533,Desconectado,4650
T39299,2,2,4024,Desconectado,527
T39512,2,2,4000,Desconectado,4503
T39536,516,3,0,Desconectado,1704
T39793,5023,1,4000,Desconectado,5972
T39838,516,3,0,Desconectado,40
T39903,513,3,0,Desconectado,192
T39941,2,2,4024,Desconectado,1257
T39943,520,3,0,Desconectado,3216
T40020,523,3,0,Desconectado,775
T40217,516,3,0,Desconectado,935
T40259,520,3,0,Desconectado,3192
T40339,533,3,4001,Desconectado,12088
T40380,523,3,0,Desconectado,5887
T40977,516,3,0,Desconectado,247
T41056,533,3,533,Desconectado,211995
T41068,515,3,515,Desconectado,29798
T41089,533,3,533,Desconectado,88762
T41096,520,3,0,Desconectado,2779
T41316,533,3,533,Desconectado,19569
T41352,5,2,4024,Desconectado,10399
T41415,509,3,4000,Desconectado,170
T41835,533,3,533,Desconectado,6971
T42060,519,3,0,Desconectado,360
T42063,5,2,4000,Desconectado,2209
T42079,520,3,0,Desconectado,8161
T42091,516,3,0,Desconectado,1509
T42110,516,3,0,Desconectado,311
T42168,506,3,0,Desconectado,27
T42223,534,3,534,Desconectado,240982
T42247,533,3,0,Desconectado,534
T42299,533,3,533,Desconectado,11805
T42308,520,3,0,Desconectado,1135
T42367,516,3,0,Desconectado,60
T42415,520,3,0,Desconectado,1831
T42463,520,3,0,Desconectado,17575
T42496,516,3,4145,Desconectado,347
T42506,523,3,0,Desconectado,2779
T42559,533,3,533,Desconectado,11164
T42601,503,3,0,Desconectado,700
T42748,533,3,533,Desconectado,498793
T42836,2,2,4024,Desconectado,2037
T42892,217,2,4001,Desconectado,55086
T42902,2,2,4000,Desconectado,517
T43025,5508,6,4000,Desconectado,134
T43087,534,3,534,Desconectado,493812
T43110,520,3,0,Desconectado,3898
T43130,522,3,0,Desconectado,937
T43138,533,3,533,Desconectado,34792
T43237,516,3,0,Desconectado,852
T43289,520,3,0,Desconectado,4466
T43322,516,3,0,Desconectado,212
T43460,533,3,533,Desconectado,41374
T43474,5,2,4024,Desconectado,11984
T43739,6,2,0,Desconectado,13940
T43841,9,2,4134,,10
T43917,516,3,0,Desconectado,12456
T43952,516,3,0,Desconectado,943
T44001,534,3,534,Desconectado,14328
T44012,534,3,4001,Desconectado,4322
T44141,520,3,0,Desconectado,394
T44478,516,3,0,Desconectado,340
T45067,501,3,0,Desconectado,3518
T45259,506,3,0,Desconectado,197
T45304,503,3,0,Desconectado,310
T45321,520,3,0,Desconectado,1326
T45331,516,3,0,Desconectado,2058
T45356,516,3,0,Desconectado,8286
T45453,533,3,533,Desconectado,16735
T45525,534,3,534,Desconectado,86491
T45551,520,3,0,Desconectado,3407
T45609,5707,8,4155,Desconectado,922
T45630,520,3,0,Desconectado,904
T45675,533,3,4001,Desconectado,5113
T45686,520,3,0,Desconectado,1816
T45722,506,3,0,Desconectado,178
T45825,506,3,0,Desconectado,33
T45940,9,2,4134,,10
T45963,520,3,0,Desconectado,4535
T46007,520,3,0,Desconectado,2581
T46046,520,3,0,Desconectado,2513
T46200,520,3,0,Desconectado,2777
T46332,520,3,0,Desconectado,766
T46341,516,3,0,Desconectado,515
T46371,520,3,0,Desconectado,2314
T46457,534,3,534,Desconectado,330077
T46472,5554,6,4000,Desconectado,12376
T46506,520,3,0,Desconectado,2395
T46585,534,3,4001,Desconectado,9503
T46735,534,3,534,Desconectado,118012
T46740,520,3,0,Desconectado,2821
T46764,5582,6,4017,Desconectado,3099
T46923,738,9,3502,Desconectado,10162
T46988,533,3,533,Desconectado,131792
T47026,200,2,4001,Desconectado,1861
T47145,7,2,4145,Desconectado,24
T47243,523,3,0,Desconectado,4700
T47344,534,3,4001,Desconectado,2589
T47387,520,3,0,Desconectado,1918
T47526,4007,3,4000,Desconectado,3339
T47747,516,3,0,Desconectado,332
T47759,534,3,534,Desconectado,23818
T47828,520,3,0,Desconectado,311
T47844,9,2,4134,,2
T47857,524,3,0,Desconectado,10427
T47910,516,3,0,Desconectado,275
T47953,513,3,0,Desconectado,19763
T47965,520,3,0,Desconectado,1121
T48119,534,3,534,Desconectado,141485
T48195,516,3,0,Desconectado,715
T48228,533,3,4001,Desconectado,22524
T48229,516,3,0,Desconectado,810
T48259,506,3,0,Desconectado,155
T48386,534,3,534,Desconectado,5137
T48395,506,3,0,Desconectado,90
T48463,520,3,0,Desconectado,7097
T48548,533,3,0,Desconectado,17624
T48579,531,3,0,Desconectado,5570
T48590,533,3,533,Desconectado,10116
T48647,516,3,0,Desconectado,8034
T48689,533,3,4001,Desconectado,2393
T48771,520,3,0,Desconectado,37364
T49030,520,3,0,Desconectado,1549
T49216,4092,0,4092,Desconectado,2
T49295,533,3,4000,Desconectado,3387
T49410,520,3,0,Desconectado,6233
T49440,533,3,4000,Desconectado,12719
T49499,5,2,4000,Desconectado,1103
T49525,738,9,4050,Desconectado,48337
T49571,523,3,0,Desconectado,8448
T49594,533,3,533,Desconectado,14448
T49634,534,3,0,Desconectado,14626
T49747,534,3,0,Desconectado,2243
T49917,506,3,0,Desconectado,60
T49920,520,3,0,Desconectado,4344
T49923,520,3,0,Desconectado,193
T49938,533,3,0,Desconectado,4982
T49954,6,2,4024,Desconectado,1580
T49990,520,3,0,Desconectado,644
T50142,534,3,534,Desconectado,125324
T50149,534,3,534,Desconectado,412593
T50168,520,3,0,Desconectado,8152
T50223,520,3,0,Desconectado,6911
T50232,533,3,533,Desconectado,15759
T50242,506,3,0,Desconectado,408
T50320,516,3,4145,Desconectado,26
T50331,501,3,0,Desconectado,5245
T50368,520,3,0,Desconectado,1597
T50372,513,3,0,Desconectado,8730
T50456,4012,0,0,Desconectado,62
T50467,520,3,0,Desconectado,1702
T50630,520,3,0,Desconectado,3042
T50702,516,3,0,Desconectado,308
T50725,516,3,0,Desconectado,382
T50734,513,3,0,Desconectado,10284
T50743,5,2,4000,Desconectado,4853
T50749,533,3,4001,Desconectado,7071
T50750,534,3,534,Desconectado,112240
T50754,2,3,0,Desconectado,3503
T50762,516,3,0,Desconectado,227
T50843,519,3,0,Desconectado,389
T50869,533,3,533,Desconectado,47445
T50901,533,3,533,Desconectado,2976
T50945,520,3,0,Desconectado,4625
T51025,531,3,0,Desconectado,10225
T51026,6,2,4000,Desconectado,5942
T51053,516,3,4000,Desconectado,4
T51140,516,3,0,Desconectado,639
T51145,501,3,4000,Desconectado,291
T51217,520,3,0,Desconectado,2523
T51367,520,3,0,Desconectado,3717
T51425,212,2,4000,Desconectado,3964
T51520,516,3,0,Desconectado,1478
T51553,516,3,0,Desconectado,437
T51646,506,3,0,Desconectado,226
T51652,7,2,4145,Desconectado,430
T51665,520,3,0,Desconectado,3042
T51682,6,2,4000,Desconectado,659
T51693,527,3,527,Desconectado,122329
T51706,533,3,4024,Desconectado,12451
T51726,5537,6,4000,Desconectado,104
T51729,520,3,0,Desconectado,585
T51811,520,3,0,Desconectado,5837
T51839,533,3,533,Desconectado,4706
T51945,516,3,0,Desconectado,1383
T51994,520,3,0,Desconectado,649
T52097,533,3,4001,Desconectado,2784
T52184,520,3,0,Desconectado,2339
T52235,503,3,0,Desconectado,16
T52252,520,3,0,Desconectado,509
T52361,520,3,0,Desconectado,6146
T52372,506,3,0,Desconectado,486
T52432,46,3,4003,Negado,72264
T52473,520,3,4000,Desconectado,2484
T52484,520,3,0,Desconectado,655
T52565,520,3,0,Desconectado,1802
T52576,533,3,533,Desconectado,232297
T52637,520,3,0,Desconectado,987
T52685,523,3,0,Desconectado,805
T52694,519,3,0,Desconectado,8875
T52843,513,3,0,Desconectado,2658
T52846,533,3,533,Desconectado,2925
T52926,534,3,4001,Desconectado,38468
T52933,515,3,515,Desconectado,35150
T53023,9,2,4134,Desconectado,8
T53093,516,3,0,Desconectado,739
T53095,2,2,4000,Desconectado,10853
T53161,5554,6,4000,Desconectado,29230
T53231,5011,1,4000,Desconectado,844
T53290,4012,0,0,Desconectado,60
T53295,533,3,533,Desconectado,111923
T53335,5074,1,4000,Desconectado,8369
T53336,5023,1,4000,Desconectado,4103
T53339,533,3,4000,Desconectado,31878
T53360,5075,1,4000,Desconectado,1761
T53366,5209,1,4000,Desconectado,16893
T53381,5064,1,4000,Desconectado,3530
T53393,533,3,4001,Desconectado,390
T53401,533,3,533,Desconectado,51490
T53403,5075,1,4000,Desconectado,2291
T53407,5064,1,4000,Desconectado,7446
T53435,5075,1,4000,Desconectado,4338
T53440,5631,6,4000,Desconectado,1248
T53460,9,2,4134,,2
T53544,6,2,4024,Desconectado,1227
T53547,5064,1,4000,Desconectado,5158
T53560,5033,1,4000,Desconectado,6308
T53563,5075,1,4000,Desconectado,695
T53570,6,2,4000,Desconectado,1103
T53590,5038,1,4000,Desconectado,46
T53615,5200,6,4001,Desconectado,71042
T53645,4,2,4000,Desconectado,1932
T53658,5075,1,4000,Desconectado,6265
T53698,5,2,4000,Desconectado,1585
T53699,5033,1,4000,Desconectado,6307
T53707,4012,0,0,Desconectado,52
T53716,5032,1,4000,Desconectado,3445
T53733,5075,1,4000,Desconectado,8128
T53735,520,3,0,Desconectado,7412
T53741,5064,1,4000,Desconectado,11265
T53751,5064,1,4000,Desconectado,1822
T53755,5032,1,4000,Desconectado,5739
T53762,5075,1,4000,Desconectado,2612
T53779,5075,1,4000,Desconectado,2189
T53780,5011,1,4000,Desconectado,4088
T54038,5,2,4024,Desconectado,9354
T54053,84,2,4000,Desconectado,1267
T54060,200,2,4001,Desconectado,2593
T54068,4,2,4132,Desconectado,1357
T54071,17,2,4107,Desconectado,121
T54131,4,2,4000,Desconectado,2286
T54151,6,2,4024,Desconectado,1520
T54187,5,2,4000,Desconectado,6513
T54216,6,2,4000,Desconectado,387
T54237,5,2,4000,Desconectado,1314
T54252,5,2,4000,Desconectado,1030
T54263,2,2,4016,Desconectado,102
T54271,2,2,4000,Desconectado,4301
T54276,533,3,533,Desconectado,49043
T54280,4,2,4000,Desconectado,1229
T54282,5,2,4000,Desconectado,461
T54284,5,2,4000,Desconectado,980
T54306,5,2,4000,Desconectado,923
T54313,10,2,4000,Desconectado,3624
T54318,10,2,4164,Desconectado,1557
T54337,2,2,0,Desconectado,9948
T54374,6,2,4000,Desconectado,1295
T54397,5,2,4024,Desconectado,516
T54402,2,2,0,Desconectado,6790
T54430,2,2,4118,Desconectado,1663
T54544,5,2,4024,Desconectado,8472
T54551,506,3,0,Desconectado,1254
T54556,520,3,0,Desconectado,564
T54623,99,2,0,Desconectado,4
T54649,520,3,0,Desconectado,3396
T54744,99,2,0,Desconectado,2
T54797,520,3,0,Desconectado,6466
T54838,501,3,0,Desconectado,1395
T54928,5508,6,4173,Desconectado,1067
T55024,520,3,4000,Desconectado,1449
T55031,5537,6,4000,Desconectado,170
T55053,516,3,4145,Desconectado,419
T55103,5,2,4024,Desconectado,2898
T55140,5582,6,4000,Desconectado,54
T55216,533,3,4000,Desconectado,9138
T55219,5635,6,4000,Desconectado,6013
T55238,7,2,4000,Desconectado,19
T55295,516,3,0,Desconectado,1190
T55302,7,2,0,Desconectado,1025
T55328,5200,6,0,Desconectado,131202
T55539,77,2,4016,Desconectado,516
T55554,534,3,534,Desconectado,73374
T55596,5,2,0,Desconectado,1190
T55622,5209,6,4000,Desconectado,15100
T55665,516,3,0,Desconectado,668
T55699,520,3,0,Desconectado,60
T55737,5553,6,4000,Desconectado,77361
T55754,520,3,0,Desconectado,1134
T55970,5508,6,4000,Desconectado,19321
T56018,520,3,0,Desconectado,3750
T56033,4012,0,0,Desconectado,47
T56137,13,2,4000,Desconectado,5941
T56241,5200,6,0,Desconectado,8446
T56291,5209,6,4001,Desconectado,34966
T56320,520,3,0,Desconectado,1984
T56348,534,3,534,Desconectado,253517
T56361,534,3,534,Desconectado,271014
T56396,5629,6,4000,Desconectado,14865
T56419,520,3,0,Desconectado,918
T56440,516,3,0,Desconectado,379
T56562,506,3,0,Desconectado,714
T56626,533,3,4001,Desconectado,2111
T57058,42,2,4174,Desconectado,318
T57062,200,2,0,Desconectado,2572
T57089,10,2,0,Desconectado,235
T57095,2,2,4024,Desconectado,1822
T57154,42,2,4000,Desconectado,6476
T57156,5625,6,4173,Desconectado,4571
T57157,5,2,4000,Desconectado,3750
T57160,39,2,4000,Desconectado,5437
T57161,520,3,0,Desconectado,672
T57165,6,2,4133,Desconectado,558
T57177,6,2,4133,Desconectado,1301
T57205,6,2,4000,Desconectado,7167
T57211,533,3,4001,Desconectado,3735
T57215,520,3,0,Desconectado,3955
T57248,69,2,4140,Desconectado,808
T57253,4,2,4000,Desconectado,4315
T57320,5,2,4000,Desconectado,2061
T57392,2,2,4000,Desconectado,1244
T57397,5064,1,4000,Desconectado,4954
T57410,4,2,4132,Desconectado,2420
T57506,5,2,4000,Desconectado,2597
T57546,5,2,4000,Desconectado,1928
T57551,7,2,4145,Desconectado,625
T57558,99,2,0,Desconectado,2
T57575,516,3,0,Desconectado,5572
T57693,4,2,4000,Desconectado,146
T57702,4,2,4000,Desconectado,4514
T57766,5,2,0,Desconectado,3997
T57767,200,2,4000,Desconectado,1944
T57876,12,2,4154,Desconectado,337
T57883,200,2,0,Desconectado,2549
T57886,10,2,4027,Desconectado,2006
T57936,501,3,0,Desconectado,13484
T58044,5629,6,4000,Desconectado,21485
T58122,12,2,4154,Desconectado,2071
T58124,28,2,4016,Desconectado,3875
T58138,2,2,4000,Desconectado,2072
T58203,516,3,0,Desconectado,538
T58219,5,2,4000,Desconectado,11845
T58228,6,2,4000,Desconectado,16784
T58233,5,2,4000,Desconectado,1033
T58234,519,3,4029,Desconectado,2807
T58381,533,3,533,Desconectado,27358
T58447,5,2,4000,Desconectado,2498
T58470,520,3,0,Desconectado,1267
T58524,46,2,4000,Desconectado,10143
T58645,46,2,4000,Desconectado,9839
T58706,519,3,0,Desconectado,8632
T58719,200,2,4001,Desconectado,1226
T58720,19,2,4000,Desconectado,1879
T59077,5,2,4173,Desconectado,3309
T59082,2,2,4000,Desconectado,4848
T59103,6,2,4000,Desconectado,9345
T59162,5,2,4000,Desconectado,1267
T59191,5,2,0,Desconectado,366
T59260,6,2,0,Desconectado,3798
T59274,520,3,0,Desconectado,2223
T59297,5508,6,4000,Desconectado,26961
T59328,6,2,0,Desconectado,2163
T59673,5,2,4173,Desconectado,259
T59700,9,2,4134,,10
T59726,516,3,0,Desconectado,817
T59746,5,2,0,Desconectado,6220
T59826,5,2,0,Desconectado,126
T60033,516,3,0,Desconectado,168
T60085,5,2,4000,Desconectado,7158
T60147,533,3,533,Desconectado,25275
T60161,6,2,4133,Desconectado,12130
T60204,5,2,4000,Desconectado,903
T60224,5,2,4173,Desconectado,664
T60275,10,2,4000,Desconectado,780
T60309,5553,6,4000,Desconectado,3561
T60311,5209,6,4001,Desconectado,34699
T60327,5,2,4000,Desconectado,16568
T60330,506,3,0,Desconectado,119
T60392,5565,6,4000,Desconectado,3078
T60409,5537,6,4000,Desconectado,80
T60430,5802,6,4000,Desconectado,507
T60449,5553,6,4000,Desconectado,4920
T60458,5562,6,4000,Desconectado,11440
T60481,5537,6,4133,Desconectado,527
T60502,5209,6,4000,Desconectado,7302
T60517,5209,6,0,Desconectado,25737
T60518,5209,6,0,Desconectado,12727
T60571,533,3,533,Desconectado,46945
T60589,7,2,0,Desconectado,367
T60607,5,2,4016,Desconectado,1054
T60617,515,6,4000,Desconectado,19125
T60625,5508,6,4000,Desconectado,3609
T60633,5508,6,4000,Desconectado,1907
T60689,4012,0,0,Desconectado,85
T60696,5200,6,4000,Desconectado,8206
T60726,5,2,4000,Desconectado,1867
T60795,515,3,515,Desconectado,53655
T60841,9,2,4134,,2
T60842,5511,6,4173,Desconectado,2975
T60887,5629,6,4000,Desconectado,8441
T60994,5,2,4024,Desconectado,7622
T61024,5,2,4000,Desconectado,20656
T61052,5,2,4000,Desconectado,141
T61086,5,2,4000,Desconectado,674
T61094,5,2,4000,Desconectado,60
T61126,6,2,0,Desconectado,2572
T61132,520,3,0,Desconectado,3268
T61210,4007,0,4000,Desconectado,5006
T61211,10,2,4000,Desconectado,903
T61216,520,3,0,Desconectado,989
T61371,9,2,4134,Desconectado,8
T61384,5582,6,4145,Desconectado,6488
T61402,5209,6,4000,Desconectado,10705
T61412,16,2,4145,Desconectado,3255
T61431,5200,6,0,Desconectado,10429
T61456,5582,6,4145,Desconectado,463
T61500,5209,6,4000,Desconectado,35514
T61523,5508,6,4000,Desconectado,15887
T61561,5582,6,4145,Desconectado,388
T61585,5200,6,0,Desconectado,12129
T61653,5629,6,4000,Desconectado,983
T61658,5200,6,4000,Desconectado,39311
T61662,5629,6,4000,Desconectado,27122
T61712,5625,6,4000,Desconectado,200
T61862,5629,6,4132,Desconectado,3234
T61925,5625,6,4004,Desconectado,4823
T61939,5625,6,4000,Desconectado,4630
T61950,5629,6,4004,Desconectado,3685
T61985,216,2,4000,Desconectado,929
T61988,5209,6,0,Desconectado,9966
T62003,720,9,3501,Desconectado,14005
T62248,6,2,4133,Desconectado,2670
T62310,533,3,533,Desconectado,59361
T62366,5,2,4000,Desconectado,2256
T62368,5,2,4000,Desconectado,4496
T62472,4093,2,4001,Desconectado,1594
T62498,39,2,4000,Desconectado,829
T62508,2,2,4000,Desconectado,2273
T62512,506,3,0,Desconectado,448
T62641,6,2,4133,Desconectado,683
T73740,5554,6,4000,Desconectado,64358
T73747,5508,6,4000,Desconectado,56821
T73755,5554,6,4000,Desconectado,47490
T73765,5625,6,4173,Desconectado,4076
T73768,5582,6,4145,Desconectado,348
T73774,5508,6,4000,Desconectado,1508
T73839,5208,6,4001,Desconectado,18298
T73851,5209,6,4001,Desconectado,82845
T73876,5553,6,4000,Desconectado,278
T74087,5618,6,4000,Desconectado,67185
T74148,5,2,4016,Desconectado,649
T74304,5582,6,4145,Desconectado,2042
T74314,5582,6,4145,Desconectado,157
T74367,5629,6,4000,Desconectado,2649
T74369,5631,6,4000,Desconectado,3786
T74380,5625,6,4000,Desconectado,5715
T74414,5553,6,4000,Desconectado,11021
T74473,5631,6,4000,Desconectado,11702
T74511,5508,6,4004,Desconectado,3053
T74551,5582,6,4145,Desconectado,560
T74600,5508,6,4000,Desconectado,2100
T74657,5625,6,4173,Desconectado,3608
T74690,5508,6,4004,Desconectado,3833
T74756,5625,6,4000,Desconectado,4110
T74810,5508,6,4173,Desconectado,16162
T74865,5508,6,4000,Desconectado,9935
T74871,5610,6,4000,Desconectado,19719
T75004,5200,6,0,Desconectado,613113
