CD_CLIENTE;DS_PROD_moda;DS_LIN_REC_moda;CIDADE_moda;DS_CNAE_moda;DS_SEGMENTO_moda;DS_SUBSEGMENTO_moda;MARCA_TOTVS_moda;MODAL_COMERC_moda;PAIS_moda;PERIODICIDADE_moda;UF_moda;VL_TOTAL_CONTRATO_soma;faixa_vl_total_soma_contratos;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M
TD0181;ADESAO DE SOFTWARE - MOD SRV;SAAS SERIE T;SAOPAULO;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;8391.555108117236;0.0-0.5M;6383;0.0;0.0
TD0182;LOCACAO DE SOFTWARE  - L.UANUA;SAAS SERIE T;ARIQUEMES;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RO;9268.303193055848;0.0-0.5M;4808;0.0;0.0
TD0240;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;BLUMENAU;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;22082.190136503632;0.0-0.5M;4587;0.0;0.0
TD0277;LOCACAO DE SOFTWARE VS SALES;SAAS SERIE T;LONDRINA;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;3912.685595045531;0.0-0.5M;4342;0.0;0.0
TD0290;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;MARINGA;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;40575.770042454686;0.0-0.5M;4969;0.0;0.0
TD0306;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;CAPANEMA;Confeccao, sob medida, de pecas do vestuario, exceto roupas intimas;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;2974.380426668473;0.0-0.5M;5867;0.0;0.0
TD0317;ADESAO VA SALES;SAAS SERIE T;CRUZEIRODOSUL;Comercio varejista especializado de eletrodomesticos e equipamentos de audio e video;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;AC;26398.668843309973;0.0-0.5M;5193;2.0;149.497575717962
TD0324;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;MARINGA;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;1746.912929239056;0.0-0.5M;5430;0.0;0.0
TD0341;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;UMUARAMA;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;415.1393227968125;0.0-0.5M;5442;0.0;0.0
TD0342;ADESAO DE SOFTWARE VS PLUS;SAAS SERIE T;BRASILIA;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;13343.472079228846;0.0-0.5M;4332;1.0;251.365447457394
TD0344;LOCACAO DE SOFTWARE VS PLUS;SAAS SERIE T;VILAVELHA;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;ES;13886.396054438308;0.0-0.5M;5434;0.0;0.0
TD0358;ADESAO VA SALES;SAAS SERIE T;GRAVATAI;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;43651.976302288924;0.0-0.5M;4342;0.0;0.0
TD0407;ADESAO DE SOFTWARE VS PLUS;SAAS SERIE T;PORTOVELHO;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RO;10607.614315758776;0.0-0.5M;4303;0.0;0.0
TD0421;BONUS PERMMENSALIDADE - V -13;SAAS SERIE T;UMUARAMA;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;13179.143294716858;0.0-0.5M;4336;0.0;0.0
TD0472;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;MARINGA;Comercio atacadista de cosmeticos e produtos de perfumaria;VAREJO;VAREJO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;11634.250935150556;0.0-0.5M;4140;0.0;0.0
TD0505;LOCACAO DE SOFTW VIRTUAL PDV;SAAS SERIE T;CAMPOSDOSGOYTACAZES;Comercio varejista de tecidos;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;2056.787663543162;0.0-0.5M;4009;0.0;0.0
TD0512;ADESAO DE SOFTWARE VS PLUS;SAAS SERIE T;PORTOALEGRE;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;17497.19004032143;0.0-0.5M;3993;0.0;0.0
TD0532;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;FARROUPILHA;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;8610.441553550074;0.0-0.5M;3931;0.0;0.0
TD0567;ADESAO DE SOFTWARE VS LIGHT;SAAS SERIE T;BELOHORIZONTE;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;2292.1658414303542;0.0-0.5M;3742;0.0;0.0
TD0569;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;MARINGA;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;21632.755745299328;0.0-0.5M;4694;0.0;0.0
TD0631;ADESAO DE SOFTWARE VS SALES;SAAS SERIE T;ITAJAI;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;24903.276904250903;0.0-0.5M;3439;0.0;0.0
TD0647;ADESAO VA PLUS;SAAS SERIE T;IGREJINHA;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;263572.38988177635;0.0-0.5M;3412;2.0;10056.9804661365
TD0659;ADESAO DE SOFTWARE VS PLUS;SAAS SERIE T;RIODOSUL;Fabricacao de artigos do vestuario, produzidos em malharias e tricotagens, exceto meias;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;26337.56998032462;0.0-0.5M;3341;0.0;0.0
TD0675;LOCACAO DE SOFTWARE VS PL -13;SAAS SERIE T;CIANORTE;Confeccao de pecas do vestuario, exceto roupas intimas e as confeccionadas sob medida;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;59974.70528273303;0.0-0.5M;3187;0.0;0.0
TD0679;ADESAO DE SOFTWARE VS PLUS;SAAS SERIE T;JOINVILLE;Fabricacao de outros produtos texteis nao especificados anteriormente;MANUFATURA;TEXTIL & VESTUARIO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;23360.797558813785;0.0-0.5M;3131;0.0;0.0
TD0698;ADESAO DE SOFTWARE VS LIGHT;SAAS SERIE T;POCOSDECALDAS;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;2731.780021823194;0.0-0.5M;2980;0.0;0.0
TD0718;BONUS PERMADESAO - VS LIGHT;SAAS SERIE T;BELOHORIZONTE;Comercio varejista de calcados;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;2325.6747885100417;0.0-0.5M;2887;0.0;0.0
TD2587;AHGORA MULTI;SAAS SERIE T;CURITIBA;Comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente;VAREJO;SUPERMERCADO;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;120.20930143566552;0.0-0.5M;514;1.0;120.209301435666
TD2666;AHGORA GERENCIAL;SAAS SERIE T;QUATROBARRAS;Treinamento em desenvolvimento profissional e gerencial;EDUCACIONAL;EDUCACAO CONTINUADA;RH - CORE;NAO INFORMADO;105;00 - Mensal;PR;133.85081859456508;0.0-0.5M;1938;0.0;0.0
TD2861;ADESAO AVALIACAO DE DESEMPENHO;SAAS SERIE T;RIODOSUL;Agencias de publicidade;SERVICOS;MIDIA;RH - CORE;NAO INFORMADO;105;00 - Mensal;SC;351.698911257535;0.0-0.5M;2678;1.0;120.209301435666
TD3049;ADESAO AVALIACAO DE DESEMPENHO;CDU TOTVS SERIE T;SAOPAULO;Suporte tecnico, manutencao e outros servicos em tecnologia da informacao;SERVICOS;PROVEDOR SERVICOS;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;247.03967822580506;0.0-0.5M;1789;0.0;0.0
TD3499;AHGORA MULTI;SAAS SERIE T;CAICO;Comercio varejista especializado de equipamentos de telefonia e comunicacao;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;RH - CORE;NAO INFORMADO;105;00 - Mensal;RN;221.5558948614756;0.0-0.5M;765;0.0;0.0
TD4169;ADESAO AVALIACAO DE DESEMPENHO;CDU TOTVS SERIE T;SAOPAULO;Treinamento em desenvolvimento profissional e gerencial;EDUCACIONAL;EDUCACAO CONTINUADA;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1326.2539417181645;0.0-0.5M;1060;0.0;0.0
TD4347;SMS USUARIO RETAGUARDA WT;CDU TOTVS SERIE T;JIPARANA;Comercio atacadista de maquinas, aparelhos e equipamentos para uso agropecuario, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RO;105980.11864758974;0.0-0.5M;1364;5.0;39121.390935877
TD4405;FEEDZ 1 MOD PACK 25 COL;SAAS SERIE T;CAMPOLARGO;Comercio varejista de outros artigos de uso domestico nao especificados anteriormente;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;536.7316933065233;0.0-0.5M;695;0.0;0.0
TD4616;TEF INTEGRADOR CLOUD ADICIONAL;SAAS TECHFIN FAT MANUAL;CURITIBA;Reparacao e manutencao de computadores e de equipamentos perifericos;SERVICOS;PROVEDOR SERVICOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;483.5108590286595;0.0-0.5M;2351;5.0;319.07277422511
TDC00T;CONSINCO CT-E POR CNPJ SMS;SMS TOTVS SERIE T;ITU;Comercio varejista de outros produtos nao especificados anteriormente;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30178.764776971322;0.0-0.5M;5711;0.0;0.0
TDC00W;CONSINCO PDV SMS;SMS TOTVS SERIE T;FRANCA;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;40094.32327739366;0.0-0.5M;3126;3.0;8078.97308966819
TDC00X;CONSINCO NFC-E CDU POR PDV;CDU TOTVS SERIE T;LAVRAS;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;3955.434620619913;0.0-0.5M;2820;2.0;3704.4643357551
TDC011;CONSINCO CT-E POR CNPJ SMS;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;42445.87701186064;0.0-0.5M;5408;3.0;6143.3910417569
TDC014;CONSINCO NFC-E CDU POR PDV;CDU TOTVS SERIE T;ITABIRA;Padaria e confeitaria com predominancia de revenda;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;28118.601415961737;0.0-0.5M;4587;0.0;0.0
TDC01I;CONSINCO NF-E POR CNPJ SMS;SMS TOTVS SERIE T;MANAUS;Comercio atacadista de mercadorias em geral, sem predominancia de alimentos ou de insumos agropecuarios;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;AM;51100.215244046456;0.0-0.5M;3491;2.0;1174.28449786787
TDC01O;CONSINCO NFC-E CDU POR PDV;SMS TOTVS SERIE T;CAMPINAGRANDE;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PB;126048.45511584864;0.0-0.5M;5043;2.0;12361.1230972081
TDC01Q;CONSINCO NFC-E SUBSC. POR PDV;SMS TOTVS SERIE T;ICARA;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;69863.85935502745;0.0-0.5M;3460;11.0;21804.0293021831
TDC01U;CONSINCO LOJA IDMOBILE CDU;SMS TOTVS SERIE T;IPATINGA;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;15816.286079473455;0.0-0.5M;4587;4.0;3299.97338367123
TDC01Y;CONSINCO NFC-E CDU POR PDV;SMS TOTVS SERIE T;PALMAS;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;TO;115569.22660410615;0.0-0.5M;3154;8.0;18247.5995997819
TDC01Z;CONSINCO NFC-E SUBSC. POR PDV;SAAS SERIE T;DIAMANTINA;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;58296.05038557686;0.0-0.5M;1938;7.0;3607.6116658556
TDC023;CONSINCO MD-E POR CNPJ SMS;SMS TOTVS SERIE T;FORTALEZA;Comercio atacadista de mercadorias em geral, com predominancia de produtos alimenticios;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;CE;104240.73062303917;0.0-0.5M;5711;2.0;17881.3175073151
TDC024;CONS SAT OU MFE BALANC SUBSC;CDU TOTVS SERIE T;SAOBENTODOSAPUCAI;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4076.3543739507563;0.0-0.5M;1871;0.0;0.0
TDC02G;CONSINCO NF-E POR CNPJ SMS;SMS TOTVS SERIE T;FORTALEZA;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;CE;14751.02441858521;0.0-0.5M;5895;2.0;2268.76296746314
TDC047;CONSINCO LOJA IDMOBILE CDU;SMS TOTVS SERIE T;CABODESANTOAGOSTINHO;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;40221.687544069486;0.0-0.5M;3491;1.0;182.380148049831
TDC04B;FEEDZ 1 MOD PACK 50 COL;SAAS SERIE T;JABOTICABAL;Comercio varejista de doces, balas, bombons e semelhantes;VAREJO;SUPERMERCADO;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1132.5233787749507;0.0-0.5M;444;1.0;1132.52337877495
TDC04H;CONSINCO LOJA IDMOBILE CDU;SMS TOTVS SERIE T;OSASCO;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;72311.99250866496;0.0-0.5M;3765;4.0;21038.0444511745
TDC04J;CONSINCO MD-E POR CNPJ SMS;SMS TOTVS SERIE T;CABODESANTOAGOSTINHO;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;832.6159902901875;0.0-0.5M;3491;1.0;183.603470543895
TDC04Q;CONS SETUP HOSPEDAGEM TEF;SAAS SERIE T;TAUBATE;Representantes comerciais e agentes do comercio de produtos alimenticios, bebidas e fumo;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;SUPERMERCADOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;12760.92254446937;0.0-0.5M;4100;2.0;608.747973876357
TDC04T;CONSINCO FLV MOBILE CDU;CDU TOTVS SERIE T;CONTAGEM;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;294.58530505697695;0.0-0.5M;3885;0.0;0.0
TDC04U;CONSINCO REINF POR CNPJ CDU;CDU TOTVS SERIE T;POA;Outras atividades auxiliares dos servicos financeiros nao especificadas anteriormente;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;82.47127384384983;0.0-0.5M;2396;0.0;0.0
TDC05E;CONSINCO ERP BACKOFFICE CDU;CDU TOTVS SERIE T;COLATINA;Comercio atacadista de mercadorias em geral, sem predominancia de alimentos ou de insumos agropecuarios;LOGISTICA;ATACADISTA E DISTRIBUIDOR;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;26170.554930954517;0.0-0.5M;1174;2.0;15255.0669169988
TDC05I;CONSINCO ERP LOJA SUP CDU;CDU TOTVS SERIE T;JOINVILLE;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;705.8024289295199;0.0-0.5M;4069;0.0;0.0
TDC06I;CONSINCO ERP LOJA SUP CDU;CDU TOTVS SERIE T;JOINVILLE;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;705.8024289295199;0.0-0.5M;4069;0.0;0.0
TDC06P;CONSINCO NF-E POR CNPJ SMS;SMS TOTVS SERIE T;RIODEJANEIRO;Restaurantes e similares;SERVICOS;VIAGENS;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;292.3572606519799;0.0-0.5M;1908;0.0;0.0
TDC06S;CONSINCO NFC-E CDU POR PDV;SMS TOTVS SERIE T;CARANGOLA;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;19964.997246440835;0.0-0.5M;3399;5.0;13805.1691223754
TDC07A;CONS TEF MULTILOJA;CDU TOTVS SERIE T;RIODEJANEIRO;Comercio varejista de laticinios e frios;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;264.6958791710678;0.0-0.5M;1908;0.0;0.0
TDC087;CONSINCO NFC-E CDU POR PDV;CDU TOTVS SERIE T;LONDRINA;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;477.07895725574195;0.0-0.5M;2881;0.0;0.0
TDC088;CONSINCO ERP LOJA SUP CDU;CDU TOTVS SERIE T;CAMPOGRANDE;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MS;705.8024289295199;0.0-0.5M;4008;0.0;0.0
TDC08C;CONSINCO ESTACAO SAT CDU;CDU TOTVS SERIE T;BAURU;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;29857.001534030718;0.0-0.5M;2608;0.0;0.0
TDC08L;CONSINCO ERP LOJA SUP CDU;CDU TOTVS SERIE T;CUIABA;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MT;705.8024289295199;0.0-0.5M;4008;0.0;0.0
TDC08X;CONSINCO ERP LOJA SUP CDU;CDU TOTVS SERIE T;CAMPOGRANDE;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MS;705.8024289295199;0.0-0.5M;4038;0.0;0.0
TDC091;CONSINCO ERP LOJA SUP CDU;CDU TOTVS SERIE T;BRASILIA;Armazens gerais - emissao de warrant;LOGISTICA;OPERADOR LOGISTICO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;DF;705.8024289295199;0.0-0.5M;4008;0.0;0.0
TDC098;CONSINCO NF-E POR CNPJ SUBSC.;SAAS SERIE T;FLORIANOPOLIS;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;19625.018689525063;0.0-0.5M;1514;2.0;1599.39116648402
TDC099;CONSINCO LOJA IDMOBILE SMS;SMS TOTVS SERIE T;PELOTAS;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - hipermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;30048.15092855004;0.0-0.5M;3885;4.0;10608.0136822087
TDC09F;CONSINCO NF-E POR CNPJ SMS;SMS TOTVS SERIE T;MARINGA;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;998.4245325956782;0.0-0.5M;2881;0.0;0.0
TDC09G;CONSINCO ORACLEASFU ATUALIZAC;SOFTWARE COMPLEMENTAR;CABODESANTOAGOSTINHO;Gestao e administracao da propriedade imobiliaria*;CONSTRUCAO E PROJETOS;SHOPPING;SOFTWARE COMPLEMENTAR;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;PE;73091.2993836725;0.0-0.5M;1697;1.0;11770.8006301753
TDC09J;CONSINCO ERP BACKOFFICE CDU;CDU TOTVS SERIE T;BETIM;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;12464.550600031022;0.0-0.5M;3796;1.0;3885.21759100355
TDC0AJ;CONSINCO NFS-E POR CNPJ CDU;CDU TOTVS SERIE T;JUNDIAI;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;1553.0898814337481;0.0-0.5M;2030;0.0;0.0
TDC0AQ;CONS TEF EXPRESS;CDU TOTVS SERIE T;IPATINGA;Restaurantes e similares;SERVICOS;VIAGENS;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;317.31135798795134;0.0-0.5M;3065;1.0;172.35815208471
TDC0AZ;CONSINCO REINF POR CNPJ SMS;SMS TOTVS SERIE T;SAOPAULO;Aluguel de imoveis proprios;CONSTRUCAO E PROJETOS;INCORPORADORAS;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;11 - Anual;SP;15.545864546567271;0.0-0.5M;2365;0.0;0.0
TDC0B4;CONSINCO NFC-E CDU POR PDV;CDU TOTVS SERIE T;IRATI;Comercio varejista de combustiveis para veiculos automotores;VAREJO;VAREJO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;253.97183902550415;0.0-0.5M;1878;0.0;0.0
TDC0BF;CONSINCO NF-E POR CNPJ SMS;SMS TOTVS SERIE T;LONDRINA;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;561.9212066550989;0.0-0.5M;3065;0.0;0.0
