CD_CLIENTE;DIAS_CLIENTE
TFDHRH;996
TB4852;3649
TEYVXH;4769
T07947;5812
T48195;4923
T60589;5582
T76382;5298
T58124;6064
TDCC2K;1630
T84843;5498
TFDOCD;814
TFDFDV;1105
TFC557;4738
TCBIEK;4140
TDC9WL;1917
TDCE4E;1773
TAABP6;5479
TFBTVB;2757
TEXVJD;4889
T17271;6467
TD4616;2351
T54522;8363
T15172;7027
TA3155;6492
TFDHQF;997
TB2818;2475
TA3887;6598
TFBUH5;2739
TEZGYJ;4146
TFEDHL;265
TDC83O;1853
TDCFA3;486
TA3179;5185
TFED36;283
TFDVLZ;387
TD0505;4009
TEZHIL;4083
TFDQYJ;452
TEZIK1;4009
TFCX90;1550
TFDETN;968
TB5656;2277
TDCH3X;779
TFCWY8;1552
TDCFHT;964
TFCDE1;2482
TDC868;1242
TFDAKP;1335
T09935;12570
TEZJF4;3930
TDCG1E;1972
TB3168;3999
TFECVG;296
TB6709;2872
TFDGFI;900
T21668;5745
T15927;5540
T60716;6348
TFDRVH;580
TEZAS9;4708
TDCG7J;2151
TF6011;3238
TEZOF5;7207
T13454;7488
TEZMW2;3614
TFDJM3;895
TEZKN7;3799
TFBLSW;2893
TFDUZR;422
TFCUDT;1696
TFEEUK;191
TFDSKR;543
T00546;11398
TFEE30;233
T45825;4850
TFCKOA;2183
TDCG5U;1094
TFCWD9;2207
TFDJIH;1756
TFCJYG;5844
T02984;10239
TFEEI3;195
TFCRKY;1843
TFDGK2;1056
TFDIG8;962
TFDBD6;1003
TEVVM7;5449
TB3655;4415
TDCA6Y;1556
T06148;9203
TB4659;3669
TDC1J9;6017
TFECAJ;325
TDCEJT;1711
TFDSSQ;530
TDCD4U;2002
TFCS32;1809
TFEDUO;241
TFCSWJ;1759
TB4090;4187
TFAIK3;3194
TEZFFN;4301
TFCOGG;2034
TFDRTK;590
T50869;5074
TCAQU6;3233
TDC8HE;996
TAA669;5505
T11387;7923
TDCG8F;4301
TFDVRC;373
TDC1NV;1938
TDCE1N;1319
TFEDC4;278
T75178;5603
TDCD56;1578
TFCQTM;1878
T16544;4720
T12096;6841
TDCGSD;1328
TFDQHK;691
TDCDKL;1150
T02436;9426
T79638;5043
T84013;5389
TB1491;6185
TFCTOJ;1732
T33051;5067
T83963;5213
TFCXGL;1544
TEZBBC;4671
TEZFZ5;4231
TEXSJH;4937
TDCA5K;767
TFCXPE;1525
TEYYW2;4745
TDCGFW;3939
TFCKR0;2182
TFDEMF;1136
TFDGR2;937
TDCDSN;781
TFEDIV;265
TDCCWU;1374
TFEBWS;340
TA4428;6694
T06096;8773
TA6163;5562
TEZEJA;5541
TDCGUK;1992
TEZGDJ;4210
T49150;1675
T56361;13225
TFBXGX;783
TFEDC1;278
TEZHCN;4132
T76650;2480
TDCDN6;472
TDCGIU;843
T02424;10243
TFEEM0;206
TFCSIH;1787
TFDE12;1158
TFDPFK;704
TEZBRQ;4616
TEVOTB;5714
TFCHCV;2308
TFDJCP;909
T05357;3282
TFDGZ4;1026
TFBLB3;2946
TFDVLQ;387
TDC31B;4953
TFCGBI;2354
TDC9Y8;975
TDCDOW;886
TEXCMP;5119
TDCA8E;1706
TEZNL0;3280
TEZBC6;4668
TFCSPD;1768
TFBTU4;2762
T03638;7158
TC9218;2358
T33327;10835
T60580;5403
TFDHVB;990
TFDNRS;837
TFDCUA;1213
T57205;5296
TA2551;8664
T56419;4458
TAAJU1;2459
TFC632;2517
TEZLFN;3747
TCAQT4;3784
TFDFQX;1088
TDC9YW;1307
TB5562;1000
TFECWH;296
TFCWM1;1574
TFDUHK;460
TFDVSF;367
T04132;9804
TFDSJO;544
T06684;9152
TFEDYH;234
TB0924;4096
TFDERB;1125
TFCES4;2417
T03581;7605
TDC15M;5773
TFC791;2594
TDCDJ1;1679
TFEEFT;213
TFCDA0;2487
TFCQBO;1304
TFCH82;2313
TFDDO3;1179
TDCGX5;1308
TDCFZR;2630
TDCEBG;411
TFDRM3;275
TDCGII;1544
TFDQD7;696
T17433;6383
TB4764;3612
T09969;9412
TB3544;4537
TFBTTF;2762
T16606;6606
TFBT40;2791
T15550;6940
TEZELF;6841
TFDMAZ;877
TEWLOI;6295
T60750;5533
T76922;5119
TDCDON;1544
T62391;5886
TFDOE0;809
TFDPV0;723
TDCGQV;1119
TA6191;5562
T84068;5793
TDCEP8;1425
TFCRVM;1817
T30182;10635
TFCD81;2487
TFBKQ7;4399
TB2113;3843
TEZCQ2;4534
TFDR21;647
TFEC85;326
TDCE75;993
T15737;5402
TB0799;7048
TFC609;4563
TFDS21;571
TCAMYE;6176
TDCGMS;2746
TCAXTX;4623
TAAMBE;5360
TDCGKZ;2627
TEVOHM;5913
TCBOEW;6224
TFDBJF;1280
TFCXWT;1515
TCALKI;3216
TFDDPD;1179
TFCSDQ;1794
T52184;5492
TFCHUW;2278
TA2900;8118
T96704;5668
TDCFV5;398
TFDOJI;185
TFD439;1395
T11082;8010
TEZEXM;3967
TFDSAL;570
TDCGI8;1762
TFDTK2;523
T13697;4850
TFDB88;1304
T01877;10889
T03799;5045
TFCSXX;1753
TCAKKD;3681
TDCGNZ;2049
TFCMKB;2120
TFDNLQ;844
TA2875;5889
TDCA8S;1675
TDCC3K;2538
TFCJBF;2230
TFAAP9;3219
TFD678;1385
T05154;5045
T74690;5715
TB2915;4948
TFDUA3;480
T15971;6808
TDCGZU;465
TEZNI2;4417
TFEEPV;205
TFDCOG;1220
T54402;5505
TA8483;5532
TFCWU3;1559
TA3491;4098
TFCSJQ;2183
TEZOWC;3370
TFCKBL;1524
TEZGPG;4587
TFDSB5;569
TCANAX;4611
TDCGKC;591
T43138;8362
TDCF3G;480
TB1949;5628
TFBLW3;2609
TFEDXB;235
TEZJXF;3862
TAAHXK;5420
TFCAAC;4234
TFCAM4;2572
TDCCQC;1272
TC1252;814
T37391;9188
TDCDWZ;1591
TEXPIY;417
T77543;5595
TEZJ01;3974
TFBUCB;2742
TCBHVX;3294
TFDRA5;643
TB5118;3640
T02145;9554
TFDDLC;1180
TFAIMG;3187
TDCH33;1175
TEZPH4;3338
TFDQWO;486
TDC11I;233
TFCHPH;2288
T29501;5609
TFDR31;650
TA3750;2372
TEXPRW;4954
TAAMHW;5350
TFECBT;325
TFBLU3;5358
TDC9VR;976
TC7591;2424
TDCDF1;1139
TFDIUW;929
T17321;6415
T36699;6572
TFDVAS;417
TFDSHQ;549
TFDFYR;1076
T54263;6323
TEZHRZ;4070
TFDAU0;1377
TFCXNC;1529
TDCD7O;1970
TA3866;5134
TEZKDJ;3833
TFDFQ1;1088
T56606;4203
TFDGAH;1068
TDCCP4;1887
TEZKN2;3799
TDCGEI;1879
TFEBNU;356
T04994;3925
T60449;5777
TFDBP3;1273
TFCYOD;1482
T84821;5850
T03000;10203
T35757;3398
TFCLPY;2147
TDCGZD;1179
TDCDJT;1060
TEWOXR;5197
TEZOAY;3462
TCBKPD;3449
TFDJFE;886
TDCDHT;759
TFDJFZ;906
T89932;5658
TFDHYB;982
TFDRHQ;621
99999;7037
TFBKQP;5413
TFDRJ5;615
T05621;9362
TEZKVV;3770
TFBWMA;2719
TDCGS3;523
TDCFYR;1259
TDCAEE;901
TA3508;4629
TDCDBA;1396
TFEDPQ;254
TEZEV8;4343
TFDQNT;669
TDCCT5;1500
T34101;6870
TDC9ZX;1448
T02860;10323
TDCGRS;1355
TEXPYU;4946
T57165;7558
T42892;5658
TEYVYE;4790
TDC80X;1490
TFDA67;1362
TFBPSA;2875
T11157;5746
TFDH20;1026
T19828;7828
TFDGU9;1033
TDCC38;1886
TAAHVG;5420
TFD978;1369
TDCFTD;1318
TFECPY;303
TFDPSF;727
T02655;6087
TEWP89;4973
TB5558;3237
T01502;5666
TEWOYV;5197
T08946;4342
TEZO13;3477
TFCJT6;2214
TEZI53;4050
T02810;10337
TD0421;4336
TA6091;5567
TFDKKK;878
TDC098;1514
TFCUDH;1696
TEVNVS;5507
TFCHBI;2309
TFDPSA;727
TEZAMM;4728
TFDDQ2;1179
TFD909;1374
TA8436;5540
TFCXFG;1544
TD0135;4400
TDCF83;4058
TDCCAN;1520
TFEED5;220
TFECOC;304
TFCLIY;2153
T49634;5625
T58524;10384
TEZKO6;3803
TFDUBN;478
TFBKAS;3035
TFDEZT;1117
TFBLMY;2914
TDCFKV;618
TFDRLL;606
TDC0SP;2182
T03193;10265
TFEEEY;215
TFDH65;1026
T12357;6298
TCAICQ;748
TFCAHC;2578
TDC1IM;7144
TFEC97;325
TFCEOV;2420
TFEDHP;265
TFDFR2;1088
TFCYYK;1462
TB2138;4491
TFBRCO;2844
T54306;6295
TDCFAR;1299
T07890;4532
TFDEPO;1129
TFDQNQ;670
TD0069;4394
TFDFYW;1075
T14167;4960
TDCE32;529
TEZKQY;5030
TFDVJD;389
TFEDZ4;233
TFDFLD;1094
TDCH8Y;578
TFBSNE;5410
TDCF8Y;1203
TDC0IY;2761
TEZUSY;3288
TCAQXA;3784
TCAKOH;3285
TFEEUC;191
TDCF6I;927
TEZJ32;3950
TFCTO3;1671
T16981;4534
TB6685;2928
TFCDKX;2474
TDCCKY;1489
TDC0G8;2942
TEZKHN;3827
TFDVKH;387
TFEECR;221
T51652;5732
T14950;4021
TDCEET;4449
TFCCLD;6857
TDCGC9;894
T04610;9673
TEXFER;5074
T61216;5501
TDCDRV;1741
T75344;5799
TFDUWD;432
TEVVKP;5561
TFDOQ5;783
T14264;7307
TFBJWN;3063
TDCFZW;2356
TB1197;4632
TB4395;4029
T32126;6925
T54204;6360
T76402;5310
TFDVNF;382
TB1474;4714
TFCWEJ;2061
T18087;10349
TFDQGD;691
TDCCJH;433
TFDOQ9;783
T76286;5778
T12395;7660
TFCVVH;5618
TFBYIZ;4629
TFCXTI;1518
TCATXY;906
TFDCWH;1209
TA2602;7636
TDCFDG;951
TFCFEA;2397
T42415;5653
TDCDXJ;1138
TDCC56;1133
TB6575;3047
T60607;5819
TEVVNW;5469
TFCPG2;1970
T52372;5602
TB0838;4384
TEXPNU;4965
TFDPJI;752
T37445;9176
TFDRJY;612
TCAUPK;2973
TFCBMZ;2526
TFDDTY;1172
TFDMC1;877
T62366;5595
TFED64;285
TDCA5F;1798
TFDBX6;1264
TCAALL;4681
TFDQZO;654
T15865;6824
TFDC66;1249
T47026;3035
TFBY54;4629
TEZINI;3995
TFDA45;1363
TEZGAD;4223
TDCCOE;1181
TEWPDU;3377
TFDRHZ;621
TDC9U6;1091
TEZFBI;3007
TFBT52;2791
TEZKQ5;1668
TB4061;4267
TFECJG;276
T08365;8642
T74126;1239
TFAIEA;3195
TEZODN;3453
T57702;6185
TFDPF2;753
TFCNAD;2081
TFCQAC;1913
TFCWGK;1581
TB3855;1552
TDCFCI;1403
TFDQW1;661
T34781;11561
TFBYL3;4629
TFCDOF;2501
TDCCA2;425
TA3026;6751
TFEBUK;347
T33662;10189
T52704;780
TEZKB6;3855
TDCDZO;1363
TFDQMQ;674
TEZEZ0;6683
TDC0P7;2090
T60502;4623
TDCE2T;1270
TFECPL;303
TEZEJX;4008
TFDEEO;1150
TEZKK0;3597
TFACVG;3268
T16602;8665
TEWBPM;5392
TFBWOA;2697
TFBNZV;5073
TFDAO5;1329
TFDUR1;448
TFECZT;285
TFCTPS;1728
TEZHXR;4045
TFCFOV;2375
TEZH17;4140
TFDGII;1059
TFEEP2;205
TCAGS6;2784
TDCE9X;1200
TEZJNY;3896
TFEBW6;345
T50564;5679
TFDNEH;845
TDCFU2;2713
T01173;9253
TFCUX1;1865
TDCH12;2133
TFEBOM;1014
TDCFLZ;899
TFBO80;3952
TFCRTD;627
TFCWE4;1586
TDCGLV;1437
TEZBFX;4658
TFDSJV;877
TDCCXZ;1640
TFCSJM;3027
TFEDV5;241
TDCFDB;1111
T54815;4339
TEVVHG;5771
TCBLO0;3268
TFDDF3;1187
TFEDBG;282
TFDRIU;3903
TFDIGX;961
T54594;1697
T10983;8999
TDCDH9;2397
TFAB06;3218
TEZBMC;5077
TFBLBK;2945
TDC33B;2764
TEZEEC;4377
TB0612;7505
TEZM32;5095
TDC011;5408
TFEBPC;356
TFDTWG;494
T12183;5198
TEZJI1;3919
TFBYGZ;4629
TFCKET;2189
TFC340;460
TFBYEP;3287
TFCJAC;2232
TFDE03;1159
TFDRA2;643
TFEDSC;249
TFEEQ7;205
TFEC92;325
TFEDV8;240
TA3616;6573
T08138;8696
TDCGXI;1769
T60579;5948
TDCEXF;444
TDCCLV;2174
TFDTZ0;489
TDCD6S;1045
TDCGHN;1203
TFBXIY;2761
T43087;3498
TDCFYA;3551
T84071;5568
TFCTD5;1748
TDCFRB;1228
TEZHED;4512
TDC1GL;824
TFCC63;2509
TEXKCV;5022
TEZLT1;3706
TFDHVG;989
TFBJUW;3071
TCAL80;2834
T62641;5252
T84626;5939
TDCH8N;744
TFDOBO;814
TDCFQ8;872
TFDVIT;578
TCBIL7;4615
TB2401;5368
T84905;5687
TA3162;6019
TDCCS9;1559
TEZH39;4139
TB4359;3928
TA6130;5564
TEZFC6;4314
TDCGA4;1648
TFDGO7;1047
TEVVQ5;5469
T84252;5316
TFCVLT;1626
T03133;10265
TDCC5S;1455
TCAWHU;4364
TB2542;5161
TFDUGP;464
T33347;10776
TFEE47;3013
TA3339;3723
TDCECJ;579
TDCFDS;2572
TFBKDA;3023
TEZPRJ;3328
TFDFRV;1087
T62600;3952
TFDJDS;297
TEZOF2;6575
TEXKBS;5025
TDCEDE;612
TFD879;1374
T60720;3672
T08298;9488
TAACCX;5491
T59260;5751
TFDIMT;948
TFDUNQ;450
TEZAZD;4699
TEZIGZ;4015
TFCRAG;1861
TEZAWV;4015
TFDV39;1409
TB0789;3761
TFCYP5;1481
T21326;5795
TDCHDQ;360
TA8260;5539
TFBWIL;2722
T31939;4577
TFBXJK;6568
TDCCYX;1343
TB1652;4499
TFDRGU;626
TFDCNQ;1221
T56626;5214
T29133;4615
TFDDBS;1194
TEZMH1;3646
TEXCEK;5392
TFCFV6;2368
TFCRXN;1815
TFDAMO;1333
TDCG42;769
TDC34B;2446
TDCA04;1117
TAAFVF;5444
TFDQHC;691
TFEBVO;345
TFEEKK;208
TAAMHM;5416
TFBKBW;5377
TDCCVG;1538
TFECMG;307
TFCSNK;2127
TFDOJF;795
TC5532;4237
TFBOL6;3462
TDC8EY;761
TFBSKB;6340
TFDVIS;391
TFEET1;195
TFDRZ2;573
TFBLAE;2949
T52576;5360
TFDTT6;472
TEZCJE;4553
TDCH98;1683
TDCEVZ;1185
TFCGCT;2350
TDCE0D;493
TDCEGI;936
T05830;12802
TFCVGN;1635
TDCD3S;1460
TFDOCG;814
TFCXJ6;1537
TFCGLS;2337
T76441;8384
TFDECC;1151
TFDQ72;705
T16880;6507
TFCADC;2581
T79368;6262
TDCG5O;2620
TDCC25;3013
TDCFNT;2022
T79220;2004
TDCFUP;723
TEVVHL;3639
TFDS77;570
TFCSCT;1795
TFDCD0;1242
TDCGRP;1517
T61132;5599
TEZARZ;4713
TFCNH5;2069
TEZB04;4694
TFCTVY;3960
TDC1LC;212
TFCFTM;2368
TEYSVO;4811
TFDBV2;1270
TFBLQH;2903
T75515;7061
TB4322;4063
T46332;6413
T26027;11631
TFCNRR;2060
TEZOD5;3454
TCBMMC;3302
T45259;5778
T57551;4125
TA3126;4115
T78381;5756
TFBQSX;1864
TFDHKX;1006
TFDNBV;856
T52004;342
TDCD7G;465
T56194;5500
TDCGHU;1726
TFDPQX;4955
TFDOXG;769
TFDAUG;1319
TB1247;6287
T53779;6078
TA3374;5277
TFDG52;1069
TB0727;7291
TB6074;3355
T31846;5169
TFBXL1;3960
TFBTYK;2756
TFEBQ1;356
TFCBRY;2522
TFEEHV;212
T01352;11274
TDCFPM;1866
TEZGU0;5654
TFDIUF;933
TFCTVM;1713
T22707;8361
TFD123;1410
TFEDM0;255
TFBRK2;2825
TEZL56;3978
TFDTP2;513
TFDU70;482
TFCP19;2000
TFCXU9;1399
TFDQX0;661
TAAHTY;5422
TEZGQT;4629
TDC0DE;2669
TFDN48;863
TFCSRU;4820
TDCE0Y;886
TEXHTJ;5045
TFDN98;859
TFDGU5;1033
T09633;677
T42902;5144
T13918;7450
T76282;5464
TEZASO;4709
TFCWKB;1574
T60795;6267
TFDROX;599
TFDBFL;1290
TFBYS3;2684
T78253;5168
TFBOOV;3092
TDC87E;1320
TDC8H2;1495
TDCF6P;730
TFBREC;2834
T60633;5371
TEZHQP;4071
T16221;6716
TFBYLD;1461
TB5466;3477
TEYVWO;4416
TFBN50;1771
T03752;9932
TFDR36;649
TFD991;1369
TDCGE1;572
TDCFVA;3315
TFBLNS;2914
TEZB95;4678
T40380;5788
TFCTU7;1717
TDCGLW;1344
TFDNK0;845
T38515;5444
TFDOMO;788
TFDBQZ;1271
TFCGS4;5301
TB3671;4267
TFBXYW;7172
TDCCK0;1532
TFDNX1;1290
T53763;6606
TFCHG2;2306
TEZEET;4379
TDCCNP;1161
T09068;8524
TDCFRA;1235
TFD790;1377
T89973;5774
TB4327;3848
TDCED4;1581
TFCBQI;2565
TDCC3E;1460
TB4691;3166
TFDPQP;732
TFCCFA;3742
TEWRKI;5168
TEWOX7;5198
TEZF27;4861
TEZBHC;4652
TDCD45;1126
TFDB97;1304
T30893;5686
T09979;8311
TFDDMP;1179
TDCDE6;450
T53336;6169
TFDOHG;800
T05704;9419
TB0594;4081
TB3429;4583
TB6660;3054
T37792;9085
TEZNX8;3495
TDCEC4;1356
TDCC7W;457
TFDBAQ;1304
TCABVH;4013
TFDSCK;563
TB3389;4415
TEZLHD;3736
TDCCPL;913
TDC839;1097
TFDPZB;717
TDCDW6;1693
TEVVMH;5469
TFD555;1391
TDCC1D;1192
T57767;6185
TCANFQ;3901
T15238;7011
TDCCD0;1025
TDCDQB;500
TFDBZE;1256
TEZIHD;4016
TEZOMW;3408
T22884;4841
TDCDXR;598
T05809;5009
TFBOCU;4104
TDC1KH;5834
TEZDCI;4475
TFECNJ;306
TEYJFM;4821
TEZDJD;4448
TDC0SA;1874
TFDFAP;1115
TFDDM7;1180
T89914;5778
TFECY6;292
TFDOPS;786
T16597;5021
TDCDO6;992
TFCVQE;5595
TEZGOT;6492
TFCNUF;2055
T27782;5053
TEZND8;3589
TEZJXL;3859
TDCDU9;1612
TDCGJH;1334
TFBLFX;3742
TFDQUD;632
TFBOJQ;3705
TFBRNY;635
TFC778;2599
T07244;8944
TFBOOO;3288
TFCOFJ;2033
TDC9VX;1451
T52450;5207
TC7343;4077
TDC01I;3491
TFEEDJ;220
TFDGVY;1031
TAAOKS;5319
TDCHCN;356
TFDIEW;964
TB2075;5534
TFCEVV;2410
TDCENB;2642
TDCDSG;2838
TEVVKG;3971
T54060;5409
TFCNAQ;1917
T42496;8423
TFCPVM;1929
TFDFX1;1081
TDCGYU;2529
TEZHGT;4107
TB0968;6378
TFDHZ9;979
TEZDSL;4420
TFEDIN;265
TDCD1W;1665
TFCUSP;1668
T13023;7551
TFBKIZ;2214
TDCDV9;1455
T58684;8867
TFDVIA;391
TDCHEC;363
T48229;5345
TFDGEK;1063
TFDNYJ;417
TFDPIO;752
T05273;5759
TFCAR6;2561
TCBKKJ;5484
T11806;6722
TAA643;5501
T46162;5795
TC5681;4321
TFBGUU;1735
TFCSNY;1770
TFDTQO;509
TFDV01;419
TDCFZI;564
TFDSE2;559
TFDHL5;1005
TFCET4;2414
T06381;9216
TEZMIZ;3644
TEVVPZ;4902
T10944;6506
TEXYEW;5197
TFCQL3;1890
TFDFSW;1087
TFEEOC;195
TFBYS0;822
T53544;691
TEZOUY;3379
TFEBWO;341
TCAI25;3289
TFCVOB;1549
TFCIXR;2243
TDCD3E;619
T05914;7538
TFEDB2;282
99958;3454
TFDNAV;857
TA2616;3595
TEXKCQ;5025
TFDVRK;370
TFDFEV;1104
TFECWD;296
T47243;5330
TDCEQS;1077
T13640;7450
TFDQUP;661
TFCSM2;486
TFDCEC;1241
TDCHD1;306
TFCRYK;1812
TD4405;695
T03718;9946
TFDUZL;423
TFDP06;615
T07673;7261
TDCCRV;698
T17891;9242
T79572;5655
TFDEF2;1150
T09129;8522
TFDCVD;1210
TDCD1N;2081
TB3185;4768
TA3434;6710
TFCX05;277
TEZPE3;3364
TDCFP2;1166
TFCAY0;2552
T53161;7192
TB4671;3843
TFBNDD;1056
TFEELG;206
TB0752;7260
T39621;8579
TFDVK8;388
TFCHDC;5596
TFDEKX;1138
T10965;5507
TFCME1;2124
TFEDVC;240
TFBRG0;2833
TDCA3W;1066
TFDCCZ;1242
TFDBQQ;1271
TFEEKZ;207
TFECTU;297
TFALVP;3146
TC2735;2970
TEWLSU;5227
TDCHC6;387
TDCH1I;1007
TDCF3B;597
T06937;9095
TDCCCE;485
TFECSZ;297
TFEDB3;276
TEF163;2609
TFCGTY;2323
TFC793;2580
TEWP22;5218
T09408;7418
TB1059;6561
TFD830;1376
TFDA48;1363
TDCDIW;684
T76932;5654
TCAOL5;3303
TFC025;1816
TD0037;4500
TF1240;3250
TFCZHM;1447
TFEEG4;214
TFBLNO;2914
TEZJ82;3950
T22629;4985
T07396;8913
TFBTSM;2762
TDCCE9;579
TCAIF7;3628
TDCFY5;275
T46046;5504
TFBXG7;7104
TFCQTA;1878
TCA959;5367
TFBR19;2852
TDCE8F;1068
TFDVIC;391
TAAMJN;5345
TEZI93;4056
TEXPJ9;4973
TFEDMT;738
T53435;4080
TCBCPR;4321
TFDVK6;388
TFDBIF;1284
TEZKPG;3797
TA8520;5529
TFDC75;1248
TFDHFC;1013
TFEE13;233
TDCFLI;1698
TB4393;3908
T75282;5794
TA8698;5526
TEZC51;4579
TA8052;5564
TFCLR9;2145
TDC09F;2881
TDCD0U;1461
TFBLJO;2921
TDCGLS;2635
TFAEAT;3208
TFDPWS;723
TDC8GZ;1011
TFCAU6;2558
T10679;8088
T13852;7408
T41415;5597
T32108;5500
TFEEXW;184
TA2867;6757
TB3199;4795
TFBKB2;3035
TFCYCP;1500
TFDIE8;964
TB0995;6829
TFEDUL;241
TA3151;6036
TDCEGP;494
TB1696;5860
TEZET6;5845
TEZLYF;5814
TA2901;7241
TCBAQ4;3294
TFD376;1396
TEZSQ7;3309
T06575;9152
TFBO51;4847
TFDEP9;1130
TFEDA8;283
TCANP4;727
T14772;7149
TEWRKF;5168
T21528;8399
TA2770;8523
TEZDDN;4484
TEXN09;5058
TFCAYV;2551
TFDSE7;558
TDCGT4;1124
TFEC88;325
TDCG77;538
TDCA91;1159
TEYVZH;4758
T14439;6600
TFCVMZ;1665
TFDQKJ;1381
T13614;7418
TFDRB8;641
TDCDVN;747
T05958;9354
T31748;9225
T01104;7559
T03356;11974
TFCZ14;1459
TFDV48;418
TFDHTB;996
TFECIL;318
TFDUQF;450
TFECUY;296
TA3588;4629
TFDR89;643
T02084;10756
TFCMHF;2123
TDCFKT;668
TFCVBA;1644
TEZHLQ;4090
T14245;7554
TFBTOH;2768
TEZCVL;4504
TFCLET;2155
TFDRB3;641
TFCEX9;3307
T07884;8797
TCATCY;3014
T29956;5792
TDCAF5;1069
TEZDN4;4441
TFCVYG;1605
TB4670;3212
TDCG20;758
T37736;9118
TB3188;2950
TFCTWD;3960
T56137;11514
TDCGU0;2159
TB4921;3685
TFCIJU;2259
T60841;7173
TFBKP7;2985
TFBMLW;1270
T02345;10610
TB4846;3669
TFEEMN;206
TFDNZU;817
T37831;8553
TFEBS7;353
TFDN74;860
T30258;10614
TEYTBT;4517
T14189;7286
TFCQRC;1879
TFEC06;328
TFECH8;321
TB3347;2628
TFDGR5;1040
TFEEAA;228
TDCGBQ;669
TFDVMP;277
TFCSRS;1763
TFCTRJ;1725
TDCET1;1112
TDC9WF;940
T04325;4752
TFDVDZ;405
TEFJ34;2300
T55140;11637
TDC8I6;1027
TEXKGO;5022
TB6134;3324
TFDVBP;412
TFDB87;1304
TEZKKL;1332
TFECRV;299
TFDUB2;480
T16210;6754
TEZHV8;4063
TFEEEC;219
TFDPPC;734
TDCCA5;4933
T11933;7755
TDCFNH;417
TFDRA6;643
TDCFKY;579
TFC368;2602
TDCHB7;356
TEZGXL;4148
TFBMJ3;5073
TDCA3M;1385
TFDVRJ;370
TEZNIP;3566
TFDVNY;382
TFDB39;1304
TDCGGI;905
TDC0CA;2942
TF0597;3925
TB4142;376
TEZKF7;3821
TFBQT4;2862
TDC34G;2231
TFEBN9;356
TFCKKV;2186
TFDDRI;1178
TFA388;3224
T60085;5982
TFCRXR;1812
T35866;9543
TFDIDC;964
TEWROD;5155
TFBZTT;2641
TDCF04;828
TFDVE1;405
TFDNBK;857
TDCGTV;521
TFCXO4;1532
TFDIDL;964
TB3390;4379
TDC0T2;1938
TFDONI;787
TB1633;5715
T16976;5715
TFCRJ3;1847
TFCYK1;1486
TFCJJX;2217
TFCBA1;2831
TFDV09;419
TA3513;4268
TEZGB5;5105
TEWBHY;5322
TFDAS5;1321
TFEDGT;265
TFCRGX;1850
TEXSOA;4927
TFDBJE;1280
TFBESF;3132
TFAAZL;3218
TFCHXY;2278
TEWP73;5197
TFDBRF;1271
TA2888;5185
T92270;5753
TDCEMI;1034
TFBKUE;5324
TB1380;6348
TB0134;10121
TEZEV6;4344
T34371;4911
TEZNUY;3498
TFDGUE;1035
TFDRJJ;473
TB4355;3761
TFDJI0;905
TDCC9A;1455
TDCDIE;3071
T16989;6907
TFEDBO;278
TDCFTG;2574
T15283;7023
TFDPWZ;723
TFEDZO;233
TDC807;1418
TAA816;5490
TDCE04;865
TFECQJ;300
TFC566;2609
TFBJS3;3096
TFBOG6;3743
TFCPG1;1970
T15860;3672
T49923;4766
T10199;8243
TFDCY5;1209
T92141;5752
TEXNAM;4979
TDCEVT;1349
TDC047;3491
TFEEHL;212
TEZLRO;3707
TFCUGZ;4308
T15035;5326
TFCCCS;7590
TFEEQE;205
TFDVAF;387
TFEET5;195
TFDVRQ;369
TFECR2;300
TFBO12;4937
TFDHGP;1011
TA3674;7094
T02610;9901
TEZPF0;3446
T10967;8028
TEZHT6;3986
T37506;4570
TFD054;1343
T08043;5126
T74874;5737
TFDEM3;5688
TFDOCL;814
TDCCUG;1542
T27656;5304
TDCGUR;1063
TFEEGO;213
TB3888;4399
TA2904;9395
T79941;5597
TDC0QU;1371
TFBMB3;3071
TA3050;7286
TFEDXA;235
TFEDHO;265
TDCEUI;1629
TFCGNY;2336
T16590;6634
T34693;7135
T30236;8760
TDCDAU;4912
TEZDAQ;4629
TFBXD8;3271
TFCWZA;1587
TFBLM1;4380
TD4169;1060
TFCSDU;1787
TFCCTS;1241
TFDUY1;426
T76003;5805
TDCCSR;614
TDCAD2;1010
TFDPW7;722
TDC0DX;3491
TB0458;3091
TDCF0G;2419
TFDOC4;814
T09444;8458
TEZLO4;3712
TFDRND;601
TEWTZ9;5472
TFEE35;233
TFCHGI;5404
TFCR25;1866
TFCXK2;1536
TFBTPB;2687
TDC0K5;3491
TFDEY9;1117
TB4370;3997
T08292;13416
TDCGKT;1595
T16885;6543
TFECYQ;292
T11026;7999
TEZAZB;4696
TDCEEC;1161
TEZLR5;3737
TFCG46;1188
TFDMZQ;865
TEZEDU;4377
TDCEX8;859
TFEDEU;272
T46457;7691
T21961;5760
TCAW21;4176
TFEEA3;229
T02895;6596
TFEEKU;207
T16667;3672
TDCH84;3133
T12864;7580
T54280;6297
T15732;5794
TFCZZQ;1199
TFDIM2;949
TFDRY3;576
T53645;11499
TFEDLF;256
TFEDG4;269
TDCEWX;1221
TFCX89;1550
TEZOPD;3401
TEZEOA;4360
TFDGKQ;1056
TDCCZ0;1263
TFBW32;2734
T50749;5659
TFCFHS;2389
TCASHU;3271
T03360;10155
TCABD7;4463
TDCF1U;1287
TDCEZH;2438
TFCZM0;1437
TDCC7C;478
T98720;5653
TFDSRP;534
TB3214;4698
