CD_CLIENTE;DS_PROD_moda;DS_LIN_REC_moda;CIDADE_moda;DS_CNAE_moda;DS_SEGMENTO_moda;DS_SUBSEGMENTO_moda;MARCA_TOTVS_moda;MODAL_COMERC_moda;PAIS_moda;PERIODICIDADE_moda;UF_moda;VL_TOTAL_CONTRATO_soma;faixa_vl_total_soma_contratos
TA2821;PONTO DE VENDA - ADICIONAL - F;SAAS CMNET HOTAL;SAOPAULO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;5144.428415418134;0.0-0.5M
TA2826;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;JOINVILLE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;3879.361617690044;0.0-0.5M
TA2836;FRONT-OFFICE - SPECIAL LOCACO;SAAS CMNET HOTAL;FORTALEZA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;CE;1363.4917102831992;0.0-0.5M
TA2837;COMPRAS - FULL MANUTENCO;SMS CMNET HOTAL;VITORIA;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;2660.364892856972;0.0-0.5M
TA2843;HIGS - INTEGRACOES;SAAS CMNET HOTAL;CUIABA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MT;13069.679052713605;0.0-0.5M
TA2853;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;PORTOALEGRE;Condominios prediais;HOSPITALITY;SERVICOS DE RESERVA;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;1061.0620073776838;0.0-0.5M
TA2859;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;JOINVILLE;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;2558.719825558037;0.0-0.5M
TA2866;CENTRAL DE ATENDIMENTO PARA HO;SAAS CMNET HOTAL;CAMPINAS;Condominios prediais;HOSPITALITY;SERVICOS DE RESERVA;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;7974.860358094301;0.0-0.5M
TA2867;ASSINATURA MENSAL INTERNET CMN;RECEITA TRANSACIONAL;RIBEIRAOPRETO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;SP;135.51554611226092;0.0-0.5M
TA2868;FRONT-OFFICE - FULL LOCACO;SAAS CMNET HOTAL;GUARULHOS;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;9890.77676123846;0.0-0.5M
TA2869;SAT LOCACO;SAAS CMNET HOTAL;SAOPAULO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;5464.4722806952195;0.0-0.5M
TA2872;EMISSOR FISCAL NFC-E;SAAS CMNET HOTAL;CURITIBA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;3014.695418826825;0.0-0.5M
TA2875;EMISSOR FISCAL NFC-E;SAAS CMNET HOTAL;SAOLEOPOLDO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;3655.733221146174;0.0-0.5M
TA2879;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;CAMACARI;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;BA;3607.4351038461427;0.0-0.5M
TA2884;APLICATIVO MOBILE - STAFF;SAAS CMNET HOTAL;BRASILIA;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;3157.992304927098;0.0-0.5M
TA2888;CENTRAL DE ATENDIMENTO PARA HO;SAAS CMNET HOTAL;SAOPAULO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;5559.912454519103;0.0-0.5M
TA2895;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;SAOPAULO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;2491.390845953443;0.0-0.5M
TA2896;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;CURITIBA;Restaurantes e similares;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;1261.438868819577;0.0-0.5M
TA2900;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;BRASILIA;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;6315.539000973212;0.0-0.5M
TA2901;CENTRAL DE ATENDIMENTO PARA HO;SAAS CMNET HOTAL;UNIAODAVITORIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;4420.036529207674;0.0-0.5M
TA2904;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;JOAOPESSOA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PB;516.1159767742453;0.0-0.5M
TA2928;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;BELOHORIZONTE;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;1487.3751830584265;0.0-0.5M
TA2963;COMPRAS - FULL LOCACO;SAAS CMNET HOTAL;MACEIO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;AL;4743.477111238046;0.0-0.5M
TA2973;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;RIOQUENTE;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;10916.879490744519;0.0-0.5M
TA2977;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;BOMBINHAS;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;1146.795474539038;0.0-0.5M
TA2995;CENTRAL DE ATENDIMENTO PARA HO;SAAS CMNET HOTAL;GUARULHOS;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;2234.135794323589;0.0-0.5M
TA3007;PONTO DE VENDA - ADICIONAL - F;SAAS CMNET HOTAL;IPOJUCA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PE;5159.373128361086;0.0-0.5M
TA3016;HIGS - INTEGRACOES;SAAS CMNET HOTAL;RIODEJANEIRO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;5672.17226167204;0.0-0.5M
TA3026;BACK OFFICE - SPECIAL LOCACO;SAAS CMNET HOTAL;NOVALIMA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;1244.9849710815413;0.0-0.5M
TA3030;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;GOIANIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;6674.010326450464;0.0-0.5M
TA3050;BACK OFFICE - SPECIAL LOCACO;SAAS CMNET HOTAL;TIBAUDOSUL;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RN;456.522094726616;0.0-0.5M
TA3077;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;RIODEJANEIRO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;3150.8373396869065;0.0-0.5M
TA3082;CONTABILIDADE;SAAS CMNET HOTAL;SAOPAULO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;3790.4248112143223;0.0-0.5M
TA3087;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;BRASILIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;7504.301583616197;0.0-0.5M
TA3091;PONTO DE VENDA - ADICIONAL - F;SAAS CMNET HOTAL;BRASILIA;Restaurantes e similares;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;3667.0626167527184;0.0-0.5M
TA3094;CONTAS A PAGAR / TESOURARIA -;SMS CMNET HOTAL;BRASILIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;DF;74733.33447929684;0.0-0.5M
TA3095;EMISSOR FISCAL NFC-E;SAAS CMNET HOTAL;VITORIA;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;ES;14076.927481924544;0.0-0.5M
TA3098;SOFTWARE DE COMANDA ELETRONICA;SAAS CMNET HOTAL;MACEIO;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;AL;643.0808770001577;0.0-0.5M
TA3126;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;FORTALEZA;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;CE;2862.995021848065;0.0-0.5M
TA3129;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;BRASILIA;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;4886.555396755196;0.0-0.5M
TA3130;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;BRASILIA;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;9538.316951797333;0.0-0.5M
TA3134;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;BELEM;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PA;5548.171080890506;0.0-0.5M
TA3138;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;RIODEJANEIRO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;7109.996577934792;0.0-0.5M
TA3151;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;FLORIANOPOLIS;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;9930.667163802656;0.0-0.5M
TA3153;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;BRASILIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;8399.962822853075;0.0-0.5M
TA3155;SOFTWARE DE COMANDA ELETRONICA;SAAS CMNET HOTAL;MACEIO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;AL;12409.438029937604;0.0-0.5M
TA3162;ASSINATURA MENSAL SPO CMNET RE;SAAS CMNET HOTAL;BRASILIA;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;3103.26228585415;0.0-0.5M
TA3179;CONTABILIDADE - FULL LOCACO;SAAS CMNET HOTAL;RIODEJANEIRO;Servicos combinados para apoio a edificios, exceto condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;1704.2732039562454;0.0-0.5M
TA3188;EMISSOR FISCAL NFC-E;SAAS CMNET HOTAL;RECIFE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PE;22892.349120734387;0.0-0.5M
TA3197;TOTVS CLOUD STANDARD;SAAS CMNET HOTAL;JUIZDEFORA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;4124.833257117605;0.0-0.5M
TA3205;NFCe LOCACO;SAAS CMNET HOTAL;RIODEJANEIRO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;59850.23747378363;0.0-0.5M
TA3249;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SERTAOZINHO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;4518.793546494844;0.0-0.5M
TA3260;CONTABILIDADE - FULL LOCACO;SAAS CMNET HOTAL;RIBEIRAOPRETO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;8306.620373855778;0.0-0.5M
TA3294;FRONT-OFFICE - FULL LOCACO;SAAS CMNET HOTAL;FORTALEZA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;CE;3338.9347337571057;0.0-0.5M
TA3307;BEMACONTABIL LOCACO;SAAS CMNET HOTAL;NATAL;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RN;8259.08735859672;0.0-0.5M
TA3318;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;CAMPOSDOSGOYTACAZES;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;3348.6750712785774;0.0-0.5M
TA3331;SISTEMA PONTO DE VENDA TOTVS;SAAS CMNET HOTAL;CAMPOSDOSGOYTACAZES;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;32786.19890170878;0.0-0.5M
TA3339;ASSINATURA MENSAL INTERNET CMN;RECEITA TRANSACIONAL;MACAE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;RJ;170.20998096970294;0.0-0.5M
TA3368;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;PONTAGROSSA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;7486.821944680387;0.0-0.5M
TA3374;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;VITORIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;ES;7050.612888755569;0.0-0.5M
TA3402;ASSINATURA MENSAL INTERNET CMN;RECEITA TRANSACIONAL;FOZDOIGUACU;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;PR;2.001036107129806;0.0-0.5M
TA3424;COMPRAS - FULL LOCACO;SAAS CMNET HOTAL;VITORIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;ES;5415.430080641066;0.0-0.5M
TA3425;EMISSOR FISCAL NFC-E;SAAS CMNET HOTAL;VITORIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;ES;3619.899540942027;0.0-0.5M
TA3434;CONTAS A PAGAR / TESOURARIA -;SAAS CMNET HOTAL;RIOQUENTE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;7396.947678011631;0.0-0.5M
TA3451;ASSINATURA MENSAL SPO CMNET RE;SAAS CMNET HOTAL;FORTALEZA;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;CE;7281.446696828028;0.0-0.5M
TA3476;ASSINATURA MENSAL INTERNET CMN;RECEITA TRANSACIONAL;MACAE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;RJ;170.20998096970294;0.0-0.5M
TA3484;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SAOJOSEDOSCAMPOS;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;3244.2470504020857;0.0-0.5M
TA3491;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;GOIANIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;2253.9906126722735;0.0-0.5M
TA3493;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;ITUIUTABA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;1865.8106271759302;0.0-0.5M
TA3496;CONTAS A PAGAR / TESOURARIA -;SAAS CMNET HOTAL;ARMACAODOSBUZIOS;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;6135.929194928838;0.0-0.5M
TA3502;FEE - SITE;SAAS CMNET HOTAL;RIBEIRAOPRETO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;6887.280418439784;0.0-0.5M
TA3508;CONTAS A PAGAR / TESOURARIA -;SAAS CMNET HOTAL;RIODEJANEIRO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;2310.570328987107;0.0-0.5M
TA3512;ADESAO INTERA B.O P;SAAS CMNET HOTAL;FOZDOIGUACU;LOTEAMENTO DE IMOVEIS PROPRIOS;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;11635.789546947206;0.0-0.5M
TA3513;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;BAURU;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;3083.3654289317965;0.0-0.5M
TA3529;CONTABILIDADE - FULL LOCACO;SAAS CMNET HOTAL;BAURU;Condominios prediais;HOSPITALITY;SERVICOS DE RESERVA;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;5858.142503914073;0.0-0.5M
TA3570;CONDOMINIO - FULL LOCACO;SAAS CMNET HOTAL;SAOPAULO;Restaurantes e similares;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;933.1932778176679;0.0-0.5M
TA3573;TOTVS CLOUD MENSALIDADE AMBIEN;SAAS CMNET HOTAL;BALNEARIOCAMBORIU;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;7920.17237759502;0.0-0.5M
TA3579;FRONT-OFFICE - FULL LOCACO;SAAS CMNET HOTAL;JUIZDEFORA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;14720.634733672516;0.0-0.5M
TA3585;COMANDA ELETRONICA;SAAS CMNET HOTAL;RIODEJANEIRO;Restaurantes e similares;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;2453.556129642157;0.0-0.5M
TA3588;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;PORTOALEGRE;Compra e venda de imoveis proprios;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;359.79133669078016;0.0-0.5M
TA3598;COMPRAS - FULL LOCACO;SAAS CMNET HOTAL;GUARULHOS;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;4726.426265753761;0.0-0.5M
TA3606;ATIVO FIXO E PATRIMONIO - FULL;SAAS CMNET HOTAL;MACEIO;Restaurantes e similares;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;AL;1046.0500327168418;0.0-0.5M
TA3616;CONTROLE FINANCEIRO - DOS LOCA;SAAS CMNET HOTAL;BRASILIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;2709.983021370531;0.0-0.5M
TA3626;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;PALMAS;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;TO;6493.740514799338;0.0-0.5M
TA3658;HIGS - INTEGRACOES;SAAS CMNET HOTAL;RIODEJANEIRO;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;7589.475937747616;0.0-0.5M
TA3674;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;GOIANIA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;2545.9400991595658;0.0-0.5M
TA3692;ASSINATURA MENSAL INTERNET CMN;RECEITA TRANSACIONAL;BELOHORIZONTE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;MG;461.751693292307;0.0-0.5M
TA3701;HIGS - INTEGRACOES;SAAS CMNET HOTAL;GUARUJA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1170.6103265283032;0.0-0.5M
TA3711;ASSINATURA MENSAL INTERNET CMN;SAAS CMNET HOTAL;SAOPAULO;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;713.8738350759263;0.0-0.5M
TA3738;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SOROCABA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;6660.650467735217;0.0-0.5M
TA3743;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SOROCABA;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;3658.717959877391;0.0-0.5M
TA3750;APLICATIVO MOBILE - STAFF;SAAS CMNET HOTAL;BRASILIA;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;585.3661191959869;0.0-0.5M
TA3755;HIGS - INTEGRACOES;SAAS CMNET HOTAL;SAOPAULO;Apart-hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;5700.6702107691635;0.0-0.5M
TA3789;NFCe LOCACO;SAAS CMNET HOTAL;FOZDOIGUACU;Gestao e administracao da propriedade imobiliaria*;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;PR;1694.9238251699921;0.0-0.5M
TA3799;CONTABILIDADE - FULL LOCACO;SAAS CMNET HOTAL;CAMPOGRANDE;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MS;5840.654457263518;0.0-0.5M
