CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
T13454;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Comercio varejista de ferragens e ferramentas;VAREJO;MATERIAL DE CONSTRUCAO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;22173,21;0.0-0.5M;7485;2,0;0,01;2;0;3;2;10,0;10,0;8,0;8,0;10,0;10,0;10,0;10,0;10,0
T13468;SMS TOTVS TEC USER;CDU TOTVS SERIE T;ITUPEVA;Fabricacao de embalagens de material plastico;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;90303,83;0.0-0.5M;5778;2,0;22607,63;2;0;3;2;8,0;8,0;9,0;9,0;7,5;8,5;9,0;8,0;7,5
T13481;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de moveis com predominancia de madeira;MANUFATURA;BENS DURAVEIS;MANUFATURA - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;226425,04;0.0-0.5M;7490;1,0;0,0;2;0;3;3;5,5;7,0;6,0;6,0;7,5;5,5;5,0;3,5;7,0
T13485;CDU CORPORATIVO RB2.3 TABELA C;CDU TOTVS SERIE T;MIRASSOL;Comercio varejista de moveis;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;CROSS - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;56553,74;0.0-0.5M;7458;0,0;0,0;2;0;3;2;7,33;5,67;7,33;7,33;7,0;7,33;7,67;7,33;7,67
T13614;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;13248,05;0.0-0.5M;7415;0,0;0,0;2;0;3;2;;;;;;;;;
T13617;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;JOINVILLE;Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;13683,39;0.0-0.5M;5778;0,0;0,0;2;0;3;2;8,0;8,8;8,0;8,8;7,8;7,8;9,0;8,0;8,6
T13629;SMS TOTVS TEC USER;CDU TOTVS SERIE T;PATROCINIO;Comercio atacadista de cafe em grao;LOGISTICA;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;420081,51;0.0-0.5M;6812;7,0;164512,93;2;0;1;3;;;;;;;;;
T13630;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Comercio atacadista de instrumentos e materiais para uso medico, cirurgico, hospitalar e de laboratorios;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;64994,95;0.0-0.5M;6960;2,0;0,01;2;0;3;2;9,33;9,33;7,67;9,33;9,33;8,67;8,33;8,33;8,67
T13640;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Comercio atacadista especializado em outros produtos nao especificados anteriormente;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;1901,15;0.0-0.5M;7447;1,0;0,0;2;0;3;2;9,5;9,0;9,0;9,25;9,5;8,75;9,25;8,5;9,25
T13659;CDU CORPORATIVO RB1.3 TABELA C;CDU TOTVS SERIE T;BARUERI;Comercio atacadista de maquinas, aparelhos e equipamentos para uso odonto-medico-hospitalar, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - PARCEIRO CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;172434,28;0.0-0.5M;7447;1,0;0,01;2;0;3;2;9,5;10,0;9,0;9,0;10,0;9,0;9,5;9,5;9,5
T13661;CDU CORPORATIVO RB 2.4;CDU TOTVS SERIE T;JACUTINGA;Fabricacao de artigos do vestuario, produzidos em malharias e tricotagens, exceto meias;MANUFATURA;BENS DE CONSUMO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;25069,25;0.0-0.5M;5670;2,0;0,01;2;0;3;2;8,0;9,0;8,0;8,5;8,5;8,0;8,0;8,0;8,0
T13666;APP SEC DIG - ATE 2.500 ALUNOS;CDU TOTVS SERIE T;LINS;Educacao superior - graduacao;EDUCACIONAL;SUPERIOR;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;53998,64;0.0-0.5M;4472;0,0;0,0;2;0;3;2;7,5;8,67;7,5;7,83;7,5;7,5;7,5;7,5;7,83
T13697;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CARATINGA;Comercio varejista de materiais de construcao em geral;VAREJO;MATERIAL DE CONSTRUCAO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;6382,86;0.0-0.5M;4847;0,0;0,0;2;0;3;2;8,0;9,17;7,33;7,67;8,0;7,33;7,83;8,0;7,5
T13724;CDU LGT10 CRM CALL CENTER TRAD;CDU TOTVS SERIE T;CAXIASDOSUL;Comercio atacadista de material eletrico;VAREJO;MATERIAL DE CONSTRUCAO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;63510,06;0.0-0.5M;5620;0,0;0,0;2;0;3;2;;;;;;;;;
T13777;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;IPATINGA;Comercio varejista de artigos de optica;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;31474,55;0.0-0.5M;7415;1,0;0,0;2;0;3;2;8,0;8,33;7,33;7,33;8,0;7,67;8,0;8,0;8,0
T13780;SMS TOTVS TEC USER;CDU TOTVS SERIE T;BRAGANCAPAULISTA;Fabricacao de equipamentos para sinalizacao e alarme;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;13008,15;0.0-0.5M;4431;0,0;0,0;2;0;3;2;9,0;9,33;9,33;8,67;9,0;7,67;10,0;9,33;9,0
T13796;SMS FULL TOTVS TRAD;SMS TOTVS SERIE T;MURIAE;Comercio varejista de materiais de construcao em geral;VAREJO;MATERIAL DE CONSTRUCAO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;75756,31;0.0-0.5M;6751;0,0;0,0;2;0;3;2;8,5;7,5;8,0;8,5;8,5;7,5;8,5;8,5;8,5
T13825;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;TATUI;Fabricacao de artigos para viagem, bolsas e semelhantes de qualquer material;MANUFATURA;BENS DE CONSUMO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;23385,15;0.0-0.5M;5956;2,0;0,01;2;0;3;2;10,0;8,0;8,5;10,0;10,0;6,5;10,0;10,0;10,0
T13830;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Comercio atacadista especializado de materiais de construcao nao especificados anteriormente;VAREJO;MATERIAL DE CONSTRUCAO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;25098,53;0.0-0.5M;7400;1,0;0,0;2;0;3;2;9,5;9,5;9,5;9,5;9,5;8,5;9,5;9,5;8,0
T13833;CDU CORP TOTVS MANUFATURA RB1;CDU TOTVS SERIE T;CAMPINAGRANDE;Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;PB;43535,2;0.0-0.5M;7402;2,0;0,01;2;0;3;2;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0
T13852;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;VALINHOS;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;127073,63;0.0-0.5M;7405;0,0;0,0;2;0;3;2;8,5;8,5;8,0;7,5;8,5;8,0;8,5;8,5;8,5
T13857;CDU LGT FINANCEIRO TRAD;CDU TOTVS SERIE T;DIADEMA;Metalurgia de outros metais nao-ferrosos e suas ligas nao especificados anteriormente;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;9168,33;0.0-0.5M;7388;0,0;0,0;2;0;3;2;9,0;10,0;8,0;10,0;9,0;10,0;10,0;8,0;9,0
T13864;CDU LGT FINANCEIRO TRAD;CDU TOTVS SERIE T;UBERLANDIA;Comercio atacadista de frutas, verduras, raizes, tuberculos, hortalicas e legumes frescos;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;20957,22;0.0-0.5M;5433;0,0;0,0;2;0;3;2;9,75;9,0;9,5;9,25;9,25;8,75;9,0;9,25;9,5
T13875;CDU CORP TOTVS SERVICOS RB2.4;CDU TOTVS SERIE T;SAOPAULO;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;313448,31;0.0-0.5M;7415;3,0;33139,43;2;0;1;3;9,12;8,62;8,38;8,25;8,25;8,25;9,0;9,0;8,38
T13918;CDU CORP TOTVS MANUFAT RB1.4;CDU TOTVS SERIE T;TAUBATE;Fabricacao de turbinas, motores e outros componentes e pecas para aeronaves;MANUFATURA;METAL-MECANICO & PLASTICO;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;79318,65;0.0-0.5M;7447;2,0;10103,69;2;0;3;2;;;;;;;;;
T13934;ID APP MANUT ATIV DO 1 AO 15;CDU TOTVS SERIE T;UPANEMA;Construcao de edificios;CONSTRUCAO E PROJETOS;CONSTRUTORAS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RN;12799,44;0.0-0.5M;7344;0,0;0,0;2;0;3;2;6,0;7,5;6,0;6,0;6,0;6,0;6,0;6,0;6,0
T13935;CDU CORPORATIVO RB2.3 TABELA C;CDU TOTVS SERIE T;ITUPEVA;Preparacao de documentos e servicos especializados de apoio administrativo nao especificados anteriormente;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;173534,07;0.0-0.5M;7385;2,0;0,01;2;0;3;2;8,5;8,5;7,5;10,0;8,5;5,0;10,0;8,5;8,0
T13937;CDU TOTVS CORP ENS SUPERIOR;CDU TOTVS SERIE T;SAOPAULO;Educacao superior - graduacao e pos-graduacao;EDUCACIONAL;BASICO;EDUCACIONAL - CORPORATIVO;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;87590,13;0.0-0.5M;8682;4,0;11707,8;2;0;3;2;8,67;8,0;6,0;6,67;8,67;6,67;8,33;8,67;5,0
T13941;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CANDEIAS;Transporte rodoviario de produtos perigosos;LOGISTICA;TRANSPORTADOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;BA;21220,13;0.0-0.5M;7070;0,0;0,0;2;0;3;2;;;;;;;;;
T14012;HOSP DEDICADA GERENC PROTHEUS;SAAS INTERA SOFTWARE;TRESPONTAS;Comercio atacadista de lubrificantes;LOGISTICA;ATACADISTA E DISTRIBUIDOR;CLOUD;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;MG;78261,91;0.0-0.5M;7581;3,0;2133,45;2;0;3;2;9,0;9,0;7,0;9,0;10,0;8,0;9,0;10,0;8,0
T14063;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SAOPAULO;Servicos combinados de escritorio e apoio administrativo;MANUFATURA;PAPEL & CELULOSE;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;253950,29;0.0-0.5M;7356;5,0;114538,57;2;0;1;3;;;;;;;;;
T14072;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CASCAVEL;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;LOGISTICA - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;1568,37;0.0-0.5M;3669;0,0;0,0;2;0;3;2;8,0;9,0;8,33;8,17;8,0;7,67;8,17;8,0;8,0
T14081;SMS TOTVS TEC USER;CDU TOTVS SERIE T;ASSIS;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;429408,61;0.0-0.5M;8470;9,0;142917,07;2;0;1;3;8,17;8,67;8,0;8,17;8,0;7,67;8,0;8,17;8,33
T14119;CDU FULL TOTVS TRAD;SMS TOTVS SERIE T;PORTOALEGRE;Agencias de fomento;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;CROSS - TRADICIONAL;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;RS;347729,28;0.0-0.5M;7351;2,0;85198,82;2;0;1;3;7,5;7,5;7,25;8,0;7,75;7,0;7,5;7,5;7,25
T14167;CDU LGT FINANCEIRO TRAD;CDU TOTVS SERIE T;MORRODAFUMACA;Fabricacao de embalagens de material plastico;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;74351,48;0.0-0.5M;4957;2,0;60029,09;2;0;3;2;9,75;9,25;8,5;9,0;9,75;8,5;9,5;9,0;9,25
T14188;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;TABOAODASERRA;Fabricacao de tintas, vernizes, esmaltes e lacas;MANUFATURA;QUIMICA & RECICLAGEM;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;18665,23;0.0-0.5M;7273;0,0;0,0;2;0;3;2;9,0;9,0;9,0;10,0;5,0;8,0;10,0;9,0;8,5
T14189;IAAS-TCWIN-8VCPU-16VRAM-3A;CLOUD COMPUTING.;TATUI;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;CLOUD;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;SP;288382,75;0.0-0.5M;7283;24,0;229251,19;2;0;1;3;;;;;;;;;
T14190;TEF TOTVS CLOUD PDV ADICIONAL;SMS TOTVS SERIE T;BRASILIA;Comercio a varejo de pecas e acessorios novos para veiculos automotores;VAREJO;CONCESSIONARIA DE VEICULOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;DF;550070,17;0.5-1.0M;8756;2,0;28710,03;2;0;1;3;8,57;8,29;8,43;8,57;8,57;7,29;8,29;8,14;8,71
T14228;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;SAOJOSEDORIOPRETO;Fabricacao de medicamentos alopaticos para uso humano;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;122476,84;0.0-0.5M;7303;3,0;82,87;2;0;3;2;5,86;7,71;6,57;5,57;6,57;5,14;6,86;5,86;5,86
T14245;HELP DESK ERP/CRM/BI TR/FULL;SMS TOTVS SERIE T;JUIZDEFORA;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;17360,29;0.0-0.5M;7551;0,0;0,0;2;0;3;2;8,62;8,62;8,5;8,0;8,75;8,38;8,88;8,75;8,62
T14264;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;DIADEMA;Comercio atacadista de combustiveis realizado por transportador retalhista (TRR);LOGISTICA;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;1267,97;0.0-0.5M;7304;0,0;0,0;2;0;3;2;10,0;10,0;9,75;10,0;10,0;9,0;9,25;10,0;10,0
T14319;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SENADORCANEDO;Comercio atacadista de alcool carburante, biodiesel, gasolina e demais derivados de petroleo, exceto lubrificantes, nao realizado por transportador retalhista (TRR);LOGISTICA;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;GO;2261,83;0.0-0.5M;5246;0,0;0,0;2;0;3;2;6,4;6,4;5,8;6,6;6,6;4,8;5,2;6,2;5,4
T14333;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SENADORCANEDO;Fabricacao de papel;MANUFATURA;PAPEL & CELULOSE;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;GO;12181,51;0.0-0.5M;7238;1,0;119,86;2;0;3;2;9,5;9,5;8,5;9,5;9,5;9,0;9,5;9,5;8,5
T14354;CDU CORPORATIVO RB1.3 TABELA C;CDU TOTVS SERIE T;ARUJA;Fabricacao de obras de caldeiraria pesada;MANUFATURA;BENS DE CAPITAL;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;33019,58;0.0-0.5M;7262;1,0;0,0;2;0;3;2;8,0;8,5;8,0;8,0;8,5;7,33;8,33;8,0;8,0
T14390;INTERA BO: FISCAL + ATIVO FIXO;SMS TOTVS SERIE T;BELOHORIZONTE;Construcao de rodovias e ferrovias;CONSTRUCAO E PROJETOS;CONSTRUTORAS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;10975,69;0.0-0.5M;12995;0,0;0,0;2;0;3;2;9,0;9,0;8,0;8,0;10,0;5,0;8,0;9,0;9,0
T14398;CDU CORP TOTVS MANUFATURA RB2;SOFTWARE COMPLEMENTAR;MAUA;Fabricacao de embalagens de material plastico;MANUFATURA;METAL-MECANICO & PLASTICO;SOFTWARE COMPLEMENTAR;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;189936,59;0.0-0.5M;4684;5,0;25161,36;2;0;3;2;9,0;8,83;7,83;8,5;9,17;7,67;9,33;9,0;9,0
T14431;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Atividades de consultoria em gestao empresarial, exceto consultoria tecnica especifica;SERVICOS;PROVEDOR SERVICOS;CROSS - CORPORATIVO;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;171837,25;0.0-0.5M;7279;0,0;0,0;2;0;3;2;8,0;7,5;8,0;8,0;9,0;9,0;9,0;8,0;9,0
T14439;CDU CORPORATIVO RB1.3 TABELA C;CDU TOTVS SERIE T;PARNAMIRIM;Gestao e manutencao de cemiterios;SERVICOS;PROVEDOR SERVICOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;RN;102841,64;0.0-0.5M;6597;5,0;6354,3;2;0;3;2;9,5;7,5;9,5;9,5;9,5;9,5;9,5;9,5;9,5
T14449;SMS TOTVS TEC USER;CLOUD COMPUTING.;BELOHORIZONTE;Fabricacao de aparelhos e equipamentos de medida, teste e controle;CONSTRUCAO E PROJETOS;ENGENHARIA & DESIGN;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;121163,83;0.0-0.5M;6519;2,0;7929,62;2;0;3;2;10,0;10,0;8,0;9,0;9,5;8,5;10,0;10,0;10,0
T14450;SMS TOTVS TEC USER;CDU TOTVS SERIE T;BETIM;Comercio atacadista de alcool carburante, biodiesel, gasolina e demais derivados de petroleo, exceto lubrificantes, nao realizado por transportador retalhista (TRR);LOGISTICA;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;2254,72;0.0-0.5M;5428;0,0;0,0;2;0;3;2;6,6;6,2;6,0;6,8;6,2;5,8;6,6;6,6;6,0
T14466;CDU CORP ADIC MAN ATIVOS;CDU TOTVS SERIE T;RIBEIRAODASNEVES;Fabricacao de moveis com predominancia de metal;MANUFATURA;BENS DURAVEIS;MANUFATURA - PARCEIRO CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;63565,98;0.0-0.5M;8626;2,0;142,23;2;0;3;2;8,67;8,33;8,0;8,78;8,0;7,44;8,44;8,33;7,22
T14472;PROGRESS USER 11 CDU;SMS TOTVS SERIE T;SAOBERNARDODOCAMPO;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;968684,4;0.5-1.0M;5502;2,0;9574,27;2;3;1;4;;;;;;;;;
T14475;SMS TOTVS TEC USER;SAAS SERIE T;SAOLUIS;Operacoes de terminais;LOGISTICA;PORTOS, RECINTOS ADUANEIROS;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MA;70146,12;0.0-0.5M;5600;4,0;13116,25;2;0;3;2;8,57;7,71;7,71;7,71;8,14;7,71;8,0;7,57;8,29
T14511;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outros produtos de metal nao especificados anteriormente;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;232204,32;0.0-0.5M;6289;2,0;0,01;2;0;3;3;8,0;9,33;7,33;7,33;8,67;7,33;8,67;8,0;7,33
T14535;SMS TOTVS TEC USER;CDU TOTVS SERIE T;RIODEJANEIRO;Obras de fundacoes;CONSTRUCAO E PROJETOS;CONSTRUTORAS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;19540,74;0.0-0.5M;13100;0,0;0,0;2;0;3;2;10,0;10,0;9,43;10,0;9,43;9,71;9,86;10,0;10,0
T14539;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CABREUVA;Fabricacao de embalagens de material plastico;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;98886,55;0.0-0.5M;5726;0,0;0,0;2;0;3;2;8,0;7,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0
T14551;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;SAOPAULO;Holdings de instituicoes nao-financeiras;CONSTRUCAO E PROJETOS;INCORPORADORAS;SERVICOS DE IMPLANTACAO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;601,46;0.0-0.5M;7209;0,0;0,0;2;0;3;2;;;;;;;;;
T14588;SMS TOTVS TEC USER;CDU TOTVS SERIE T;ARARUNA;Fabricacao de farinha de mandioca e derivados;AGROINDUSTRIA;GRAOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;45325,61;0.0-0.5M;5666;1,0;8639,75;2;0;3;2;9,5;9,83;9,0;9,5;9,5;8,67;9,5;9,17;9,0
T14596;SMS TOTVS TEC USER;CDU TOTVS SERIE T;TAQUARITINGA;Servicos combinados de escritorio e apoio administrativo;MANUFATURA;BENS DURAVEIS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30551,27;0.0-0.5M;7191;0,0;0,0;2;0;3;2;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
T14622;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SANTOS;Clubes sociais, esportivos e similares;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;60581,58;0.0-0.5M;7101;2,0;3733,54;2;0;3;2;;;;;;;;;
T14650;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAXIASDOSUL;Fabricacao de equipamentos hidraulicos e pneumaticos, pecas e acessorios, exceto valvulas;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;39356,21;0.0-0.5M;4467;0,0;0,0;2;0;3;2;7,4;7,6;6,2;6,2;7,8;6,0;8,0;7,2;8,0
T14662;SMS TOTVS TEC USER;CDU TOTVS SERIE T;PORTOALEGRE;Fabricacao de aparelhos e equipamentos para distribuicao e controle de energia eletrica;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;16358,33;0.0-0.5M;7191;0,0;0,0;2;0;3;2;;;;;;;;;
T14705;ADESAO FLUIG PRIVATE;SAAS FLUIG;RIODEJANEIRO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;FLUIG - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;39525,14;0.0-0.5M;7175;0,0;0,0;2;0;3;2;;;;;;;;;
T14744;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;ARUJA;Fabricacao de outros produtos de metal nao especificados anteriormente;MANUFATURA;BENS DE CAPITAL;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;81922,04;0.0-0.5M;7155;3,0;0,02;2;0;3;2;9,6;9,2;8,8;9,0;9,0;8,6;8,8;9,4;8,8
T14749;CDU CORPORATIVO RB1.3 TABELA C;CDU TOTVS SERIE T;OSASCO;Fabricacao de artefatos de material plastico para usos industriais;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;21756,53;0.0-0.5M;7128;0,0;0,0;2;0;3;2;7,5;6,0;5,0;6,5;6,5;4,0;4,5;6,5;4,0
T14772;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;JAGUARIUNA;Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios;LOGISTICA;ATACADISTA E DISTRIBUIDOR;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;58003,46;0.0-0.5M;7146;4,0;1626,91;2;0;3;2;8,75;9,25;8,75;9,0;8,75;8,5;8,75;8,75;9,0
T14841;CDU LGT COMPRAS E SUPRIM TRAD;CDU TOTVS SERIE T;JOINVILLE;Planos de saude;SAUDE;OPERADORAS DE PLANOS DE SAUDE;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;34508,5;0.0-0.5M;6439;0,0;0,0;2;0;3;2;8,0;10,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0
