CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;telemetria_moduloid_moda;telemetria_productlineid_moda;telemetria_slotid_moda;telemetria_statuslicenca_moda;telemetria_contagem;NR_PROPOSTA_count;ITEM_PROPOSTA_agg_moda;HOSPEDAGEM_agg_moda;FAT_FAIXA_agg_moda;CD_PROD_agg_moda;QTD_median;QTD_sum;VL_PCT_DESC_TEMP_median;VL_PCT_DESC_TEMP_sum;VL_PCT_DESCONTO_median;VL_PCT_DESCONTO_sum;PRC_UNITARIO_median;PRC_UNITARIO_sum;VL_DESCONTO_TEMPORARIO_median;VL_DESCONTO_TEMPORARIO_sum;VL_TOTAL_median;VL_TOTAL_sum;VL_FULL_median;VL_FULL_sum;VL_DESCONTO_median;VL_DESCONTO_sum;MRR_12M_median;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
T58203;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SALVADOR;Transporte rodoviario coletivo de passageiros, com itinerario fixo, municipal;SERVICOS;PROVEDOR SERVICOS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;BA;11140.31;0.0-0.5M;4412;0.0;0.0;0;2;3;2;516.0;3.0;0.0;Desconectado;538.0;;;;;;;;;;;;;;;;;;;;;;252.82;6.5;6.75;6.5;6.5;6.5;6.5;6.5;6.5;6.5
T58219;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Fabricacao de tintas, vernizes, esmaltes e lacas;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;252462.31;0.0-0.5M;5814;0.0;0.0;0;2;0;3;5.0;2.0;4000.0;Desconectado;11845.0;;;;;;;;;;;;;;;;;;;;;;2131.03;;;;;;;;;
T58228;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;UNAI;Preparacao do leite;MANUFATURA;BENS DE CONSUMO;MANUFATURA - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;842893.54;0.5-1.0M;6141;2.0;0.01;0;1;0;3;6.0;2.0;4000.0;Desconectado;16784.0;2.0;1.0;ON PREMISES;Faixa 11 - Acima de 850 M;1131001224;1.0;2.0;0.0;0.0;0.0;0.0;17990.26;35980.51;0.0;0.0;17990.26;35980.51;17990.26;35980.51;0.0;0.0;2573.17;8.8;7.8;7.8;8.0;8.4;7.6;7.8;8.2;8.0
T58232;CDU CORPORATIVO RB 1.4;CDU TOTVS SERIE T;JOAOPESSOA;Servicos de funerarias;SERVICOS;PROVEDOR SERVICOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;PB;11879.37;0.0-0.5M;6141;2.0;0.01;0;2;3;2;;;;;;4.0;1.0;ON PREMISES;Faixa 02 - De 7.5 M ate 15 M;103600116-4;1.0;4.0;0.0;0.0;0.0;0.0;797.32;3357.58;0.0;0.0;797.32;3357.58;797.32;3357.58;0.0;0.0;312.75;9.5;9.5;7.5;8.0;8.5;5.5;8.5;9.5;8.5
T58233;TOTVS A ELETRONICA 10 PACK;CDU TOTVS SERIE T;ARACARIGUAMA;Fabricacao de resinas termofixas;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;18514.52;0.0-0.5M;4742;1.0;34.3;0;2;3;2;5.0;2.0;4000.0;Desconectado;1033.0;;;;;;;;;;;;;;;;;;;;;;737.71;8.0;5.0;2.0;7.0;10.0;5.0;10.0;5.0;0.0
T58234;SMS TOTVS TEC USER;SAAS SERIE T;JUAZEIRODONORTE;Ensino fundamental;EDUCACIONAL;BASICO;EDUCACIONAL - PARCEIRO;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;CE;36160.33;0.0-0.5M;4461;2.0;6081.56;0;2;3;2;519.0;3.0;4029.0;Desconectado;2807.0;4.0;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;2F66001305;25.5;102.0;0.0;0.0;0.0;0.0;1296.38;5747.6;0.0;0.0;1353.65;5957.3;48.56;213.98;0.0;0.0;575.83;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0
T58381;CDU LGT GCH ON-DEMAND 10 TRA;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Fabricacao de maquinas-ferramenta, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;94897.91;0.0-0.5M;5347;2.0;248.85;0;2;3;2;533.0;3.0;533.0;Desconectado;27358.0;2.0;1.0;ON PREMISES;Faixa 09 - De 300 M ate 500 M;71A3301357;65.0;130.0;0.0;0.0;0.0;0.0;1.87;3.75;0.0;0.0;119.62;239.24;113.21;226.42;0.0;0.0;157.16;9.25;8.5;8.75;9.0;8.0;7.75;9.25;8.75;9.0
T58447;CDU CORP TOTVS MANUFATURA RB1;CDU TOTVS SERIE T;BELOHORIZONTE;Comercio varejista de madeira e artefatos;VAREJO;MATERIAL DE CONSTRUCAO;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;31176.31;0.0-0.5M;6117;4.0;0.02;0;2;3;2;5.0;2.0;4000.0;Desconectado;2498.0;4.0;1.0;ON PREMISES;Faixa 03 - De 15 M ate 25 M;1131001018-2;1.0;4.0;0.0;0.0;0.0;0.0;2476.91;9852.31;0.0;0.0;2476.91;9852.31;2476.91;9852.31;0.0;0.0;;8.75;9.5;7.75;8.75;9.75;7.0;6.25;6.5;8.0
T58470;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;MOJIMIRIM;UTI movel;SAUDE;CENTROS CLINICOS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;60283.65;0.0-0.5M;1878;2.0;20782.99;0;2;3;2;520.0;3.0;0.0;Desconectado;1267.0;4.0;1.0;ON PREMISES;Faixa 03 - De 15 M ate 25 M;0111001000-5;4.0;34.0;0.0;0.0;7.15;51.99;366.99;5364.83;0.0;0.0;913.47;20679.11;2662.98;33825.46;1825.59;13146.35;966.59;10.0;10.0;9.0;9.5;9.5;9.0;9.5;10.0;9.5
T58490;CDU CORP TOTVS EDUCACIONAL 1.0;SAAS SERIE T;RIODEJANEIRO;Ensino de idiomas;EDUCACIONAL;EDUCACAO CONTINUADA;EDUCACIONAL - CORPORATIVO;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;66051.82;0.0-0.5M;6095;1.0;51.21;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;333.35;9.0;9.0;7.5;8.0;9.0;7.0;8.5;9.0;9.0
T58507;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;FLORIANOPOLIS;Atividade medica ambulatorial com recursos para realizacao de exames complementares;SAUDE;CENTROS CLINICOS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SC;25942.83;0.0-0.5M;6109;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T58524;SMS TOTVS TEC USER;CDU TOTVS SERIE 1;SAOPAULO;Fabricacao de embalagens de material plastico;MANUFATURA;METAL-MECANICO & PLASTICO;MICRO E PEQUENOS NEGOCIOS;NAO INFORMADO;105;00 - Mensal;SP;24305.72;0.0-0.5M;10384;0.0;0.0;0;2;3;2;46.0;2.0;4000.0;Desconectado;10143.0;;;;;;;;;;;;;;;;;;;;;;1075.29;;;;;;;;;
T58645;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;FLORESDACUNHA;Fabricacao de moveis com predominancia de madeira;MANUFATURA;BENS DURAVEIS;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;RS;39963.6;0.0-0.5M;5640;0.0;0.0;0;2;3;2;46.0;2.0;4000.0;Desconectado;9839.0;;;;;;;;;;;;;;;;;;;;;;1411.03;8.0;9.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T58657;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SAOPAULO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1978.42;0.0-0.5M;5618;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;16.38;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T58681;CENTRAL DE ATENDIMENTO PARA HO;SMS CMNET HOTAL;SAOPAULO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4215.98;0.0-0.5M;9652;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;117.33;7.0;8.0;8.0;8.0;7.0;7.0;7.0;8.0;9.0
T58684;CONTABILIDADE;SMS CMNET HOTAL;SAOPAULO;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;5750.52;0.0-0.5M;8867;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;94.72;;;;;;;;;
T58706;CDU CORP TOTVS EDUCACIONAL 1.0;CDU TOTVS SERIE T;SAOPAULO;Ensino medio;EDUCACIONAL;BASICO;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;80299.17;0.0-0.5M;5365;3.0;2924.05;0;2;3;2;519.0;3.0;0.0;Desconectado;8632.0;7.0;1.0;ON PREMISES;Faixa 08 - De 150 M ate 300 M;1131001540;1.0;814.0;0.0;0.0;0.0;51.85;2.1;10004.87;0.0;0.0;567.52;10954.77;681.02;11869.11;0.0;914.34;809.57;9.67;9.33;8.67;9.0;9.0;8.33;9.33;9.33;9.0
T58719;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CUIABA;Desenvolvimento e licenciamento de programas de computador customizaveis;SERVICOS;PROVEDOR SERVICOS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;MT;30265.94;0.0-0.5M;6078;0.0;0.0;0;2;3;2;200.0;2.0;4001.0;Desconectado;1226.0;;;;;;;;;;;;;;;;;;;;;;316.74;8.57;8.43;8.29;8.71;8.57;8.43;8.57;8.29;8.43
T58720;CDU CORP TOTVS DIST/LOG RB2;CDU TOTVS SERIE T;ARAXA;Transporte rodoviario coletivo de passageiros, com itinerario fixo, municipal;SERVICOS;PROVEDOR SERVICOS;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;102453.81;0.0-0.5M;6078;3.0;5455.32;0;2;3;2;19.0;2.0;4000.0;Desconectado;1879.0;9.0;1.0;ON PREMISES;Faixa 06 - De 50 M ate 75 M;2010067-2;1.0;129.0;0.0;0.0;0.0;17.79;389.61;12675.34;0.0;0.0;2354.16;21477.07;1349.94;17799.91;0.0;1358.56;1689.62;8.67;8.33;7.17;8.0;8.5;6.33;7.83;8.33;8.17
T59077;SMS TOTVS TEC USER;SMS TOTVS SERIE T;NOVAFRIBURGO;Fabricacao de tubos e acessorios de material plastico para uso na construcao;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;75326.94;0.0-0.5M;6275;0.0;0.0;0;2;3;2;5.0;2.0;4173.0;Desconectado;3309.0;;;;;;;;;;;;;;;;;;;;;;152.85;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T59082;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;SAOPAULO;Reparacao e manutencao de equipamentos de comunicacao;SERVICOS;UTILITIES;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;105167.8;0.0-0.5M;7363;6.0;18665.37;0;2;3;2;2.0;2.0;4000.0;Desconectado;4848.0;17.0;1.0;ON PREMISES;Faixa 08 - De 150 M ate 300 M;103600022-2;1.0;362.0;0.0;83.0;0.0;8.82;300.17;19462.4;0.0;4008.31;1688.37;55188.48;1688.37;55504.26;0.0;315.81;1601.98;9.33;8.0;8.67;8.67;9.67;9.33;9.67;9.33;9.0
T59103;SMS TOTVS TEC USER;CDU TOTVS SERIE T;ESTRANGEIRO;Fabricacao de tratores agricolas, pecas e acessorios;AGROINDUSTRIA;AGROINDUSTRIA;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;586;00 - Mensal;EX;312927.75;0.0-0.5M;6095;0.0;0.0;0;2;0;3;6.0;2.0;4000.0;Desconectado;9345.0;;;;;;;;;;;;;;;;;;;;;;;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0
T59162;CDU CORP RECEITA BRUTA 25;CDU TOTVS SERIE T;CUIABA;Comercio atacadista de cosmeticos e produtos de perfumaria;VAREJO;VAREJO;SUPERMERCADOS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MT;12521.62;0.0-0.5M;5350;3.0;0.01;0;2;3;2;5.0;2.0;4000.0;Desconectado;1267.0;7.0;1.0;ON PREMISES;Faixa 08 - De 150 M ate 300 M;103600001-0;1.0;7.0;0.0;0.0;0.0;42.03;842.8;9143.91;0.0;0.0;842.8;9143.91;991.55;155415.1;0.0;146271.19;376.98;8.5;8.75;8.75;8.75;8.5;8.75;8.5;9.25;9.0
T59191;SMS TOTVS TEC USER;SOFTWARE COMPLEMENTAR;GUARULHOS;Fabricacao de outros produtos de metal nao especificados anteriormente;MANUFATURA;BENS DE CAPITAL;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;11621.05;0.0-0.5M;4833;0.0;0.0;0;2;3;2;5.0;2.0;0.0;Desconectado;366.0;;;;;;;;;;;;;;;;;;;;;;236.78;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T59260;SMS FULL TOTVS TRAD;SMS TOTVS SERIE T;SANTACRUZDOSUL;Processamento industrial do fumo;MANUFATURA;BENS DE CONSUMO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;76315.55;0.0-0.5M;5751;0.0;0.0;0;2;3;2;6.0;2.0;0.0;Desconectado;3798.0;;;;;;;;;;;;;;;;;;;;;;269.01;7.14;8.29;7.29;7.43;7.57;6.43;7.43;7.0;7.43
T59274;CDU CORP TOTVS CONSTRUCAO RB1;CDU TOTVS SERIE T;TERESINA;Outras obras de acabamento da construcao;CONSTRUCAO E PROJETOS;CONSTRUTORAS;CONSTRUCAO - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;PI;11709.42;0.0-0.5M;6050;2.0;0.01;0;2;3;2;520.0;3.0;0.0;Desconectado;2223.0;3.0;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;1131001061-0;1.0;3.0;0.0;0.0;0.0;0.0;1765.73;3940.54;0.0;0.0;1765.73;3940.54;1765.73;3940.54;0.0;0.0;1531.22;8.5;7.75;8.25;8.5;8.5;8.0;8.5;8.5;8.5
T59281;CDU LGT G CAP HUMANO TRAD;CDU TOTVS SERIE T;BRASILIA;Comercio varejista de hortifrutigranjeiros;VAREJO;SUPERMERCADO;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;DF;8542.12;0.0-0.5M;5112;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T59290;COMPRAS - FULL LOCACO;SAAS CMNET HOTAL;CAXIASDOSUL;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RS;3894.62;0.0-0.5M;5185;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;112.21;10.0;10.0;9.0;10.0;10.0;9.0;10.0;10.0;4.0
T59293;CENTRAL DE ATENDIMENTO PARA HO;SAAS CMNET HOTAL;JOINVILLE;Condominios prediais;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;4012.51;0.0-0.5M;7509;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;40.54;10.0;8.0;10.0;10.0;10.0;7.0;9.0;10.0;8.0
T59297;ID FLUIG 251º AO 500º;CDU TOTVS SERIE T;FORTALEZA;Servicos combinados de escritorio e apoio administrativo;MANUFATURA;BENS DE CONSUMO;FLUIG - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;CE;204843.99;0.0-0.5M;6921;15.0;17472.74;0;2;3;3;5508.0;6.0;4000.0;Desconectado;26961.0;21.0;1.0;ON PREMISES;Faixa 07 - De 75 M ate 150 M;7P11001021;10.0;318.0;0.0;43.39;0.0;18.25;4.49;9416.21;0.0;998.21;69.11;21968.64;58.64;14504.01;0.0;979.54;598.99;8.0;8.8;8.2;8.4;8.6;7.8;8.4;8.4;8.6
T59328;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CURITIBA;Gestao e administracao da propriedade imobiliaria*;CONSTRUCAO E PROJETOS;INCORPORADORAS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;81475.62;0.0-0.5M;5728;0.0;0.0;0;2;3;2;6.0;2.0;0.0;Desconectado;2163.0;;;;;;;;;;;;;;;;;;;;;;838.24;8.5;5.0;9.0;8.5;8.5;8.0;9.0;8.5;8.0
T59649;ADESAO TOTVS P;SAAS INTERA SOFTWARE;GOIANIA;Outras atividades de servicos prestados principalmente …s empresas nao especificadas anteriormente;SERVICOS;PROVEDOR SERVICOS;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;698.99;0.0-0.5M;296;1.0;698.99;0;2;3;2;;;;;;5.0;1.0;ON PREMISES;Sem Informações de Faturamento;2010067-2;50.0;458.0;0.0;0.0;0.0;1.19;1.94;88.9;0.0;0.0;222.59;1321.2;222.59;1340.23;0.0;19.04;169.13;;;;;;;;;
T59673;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;BRAGANCAPAULISTA;Fabricacao de aparelhos e equipamentos de medida, teste e controle;MANUFATURA;BENS DURAVEIS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;8690.64;0.0-0.5M;6019;0.0;0.0;0;2;3;2;5.0;2.0;4173.0;Desconectado;259.0;;;;;;;;;;;;;;;;;;;;;;163.15;9.5;9.0;9.5;9.0;10.0;8.5;10.0;9.5;9.0
T59700;SMS TOTVS TEC USER;CDU TOTVS SERIE T;VOLTAREDONDA;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;11292.78;0.0-0.5M;5256;0.0;0.0;0;2;3;2;9.0;2.0;4134.0;;10.0;;;;;;;;;;;;;;;;;;;;;;144.33;6.33;7.0;5.33;7.0;7.0;5.33;6.33;6.0;6.0
T59725;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;BARUERI;Comercio atacadista de outras maquinas e equipamentos nao especificados anteriormente, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;13426.1;0.0-0.5M;5396;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T59726;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;11654.79;0.0-0.5M;4385;0.0;0.0;0;2;3;2;516.0;3.0;0.0;Desconectado;817.0;;;;;;;;;;;;;;;;;;;;;;;10.0;10.0;8.0;8.0;10.0;5.0;10.0;10.0;10.0
T59746;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPOSDOSGOYTACAZES;Fabricacao de moveis com predominancia de metal;MANUFATURA;BENS DURAVEIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;350056.84;0.0-0.5M;6018;1.0;2459.29;0;2;0;3;5.0;2.0;0.0;Desconectado;6220.0;5.0;1.0;ON PREMISES;Faixa 05 - De 35 M ate 50 M;AUT.01.000525;1.0;158.0;0.0;0.0;1.7;16.1;6.04;1549.92;0.0;0.0;166.35;2459.28;173.41;2935.27;7.0;474.68;337.46;;;;;;;;;
T59811;FEEDZ MOD AVALIACAO DESEMPENHO;SAAS SERIE T;SAOPAULO;Emissao de vales-alimentacao, vales-transporte e similares;SERVICOS;PROVEDOR SERVICOS;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;7392.82;0.0-0.5M;935;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T59826;SMS FULL TOTVS TRAD;SMS TOTVS SERIE T;IPERO;Fabricacao de outros produtos derivados do petroleo, exceto produtos do refino;MANUFATURA;QUIMICA & RECICLAGEM;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;71151.07;0.0-0.5M;5564;0.0;0.0;0;2;3;2;5.0;2.0;0.0;Desconectado;126.0;;;;;;;;;;;;;;;;;;;;;;271.4;10.0;10.0;10.0;10.0;10.0;7.5;8.5;10.0;9.5
T59901;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CONTAGEM;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;267748.34;0.0-0.5M;6033;1.0;52.1;0;2;0;3;;;;;;1.0;1.0;ON PREMISES;Faixa 06 - De 50 M ate 75 M;AUT.02.000001;2.0;2.0;0.0;0.0;0.0;0.0;23.72;23.72;0.0;0.0;47.44;47.44;47.07;47.07;0.0;0.0;681.51;;;;;;;;;
T59920;CDU SISJURI PLUS;CONSULTORIA TRADICIONAL;SAOPAULO;Servicos advocaticios;JURIDICO;ESCRITORIO DE ADVOCACIA;JURIDICO - PARCEIRO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;21447.38;0.0-0.5M;5469;1.0;0.0;0;2;3;2;;;;;;1.0;1.0;ON PREMISES;Faixa 00 - Ate 4.5 M;1133387003;1.0;1.0;0.0;0.0;22.25;22.25;744.74;744.74;0.0;0.0;744.74;744.74;1582.05;1582.05;837.3;837.3;611.77;9.0;9.33;9.0;9.33;9.0;9.0;9.0;8.67;8.67
T60033;CDU LGT G CAP HUMANO TRAD;CDU TOTVS SERIE T;CATANDUVA;Locacao de mao-de-obra temporaria;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;1111.97;0.0-0.5M;5736;0.0;0.0;0;2;3;2;516.0;3.0;0.0;Desconectado;168.0;;;;;;;;;;;;;;;;;;;;;;223.31;9.5;8.75;8.5;9.5;9.75;8.5;9.0;9.5;9.5
T60085;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;CAMBUI;Fabricacao de moveis com predominancia de metal;MANUFATURA;BENS DURAVEIS;BACKOFFICE - PARCEIRO CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;MG;69842.16;0.0-0.5M;5982;2.0;0.03;0;2;3;2;5.0;2.0;4000.0;Desconectado;7158.0;4.0;1.0;ON PREMISES;Faixa 07 - De 75 M ate 150 M;1131001020-8;1.0;4.0;0.0;0.0;0.0;0.0;3408.98;14133.36;0.0;0.0;3408.98;14133.36;3408.98;14133.36;0.0;0.0;2182.94;9.0;8.5;8.0;8.5;8.5;9.0;8.5;9.0;9.0
T60147;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Comercio atacadista de outras maquinas e equipamentos nao especificados anteriormente, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;88902.91;0.0-0.5M;5330;0.0;0.0;0;2;3;2;533.0;3.0;533.0;Desconectado;25275.0;;;;;;;;;;;;;;;;;;;;;;503.91;6.2;5.8;6.0;5.6;5.8;4.4;6.6;6.6;6.6
T60161;CDU FULL TOTVS TRAD;SMS TOTVS SERIE T;SENADORCANEDO;Fabricacao de outros produtos alimenticios nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;GO;155289.62;0.0-0.5M;5667;2.0;41818.31;0;2;3;2;6.0;2.0;4133.0;Desconectado;12130.0;4.0;1.0;ON PREMISES;Faixa 06 - De 50 M ate 75 M;0111001000-5;31.5;156.0;0.0;0.0;5.5;46.14;175.07;1794.36;0.0;0.0;4756.16;29128.39;5459.46;104919.12;703.3;75790.73;426.69;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T60171;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Comercio atacadista de medicamentos e drogas de uso humano;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30281.8;0.0-0.5M;5994;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T60204;CDU CORPORATIVO RB1;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;6214.2;0.0-0.5M;5973;1.0;0.0;0;2;3;2;5.0;2.0;4000.0;Desconectado;903.0;2.0;1.0;ON PREMISES;Faixa 00 - Ate 4.5 M;103600011-7;1.0;2.0;0.0;0.0;0.0;0.0;376.58;753.17;0.0;0.0;376.58;753.17;376.58;753.17;0.0;0.0;217.51;10.0;10.0;9.33;10.0;10.0;10.0;10.0;10.0;9.67
T60224;SMS TOTVS TEC USER;CDU TOTVS SERIE T;JUNDIAI;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;21468.73;0.0-0.5M;5816;0.0;0.0;0;2;3;2;5.0;2.0;4173.0;Desconectado;664.0;;;;;;;;;;;;;;;;;;;;;;349.48;8.67;9.33;8.67;8.67;9.33;8.67;9.33;8.67;8.67
